Points,Count
26,8279
24,7927
25,7868
27,7791
28,7492
23,7037
22,7020
29,6832
30,5965
21,5635
31,5212
20,5098
32,4444
19,3933
33,3495
18,3405
34,2820
17,2258
35,2157
16,1954
36,1697
37,1249
15,1165
38,937
14,891
39,622
13,511
40,436
12,371
41,264
42,197
11,167
43,125
10,118
44,80
9,63
45,52
8,35
46,34
47,18
7,10
48,10
50,6
49,5
5,2
6,2
3,1
4,1
51,1
