Points,Count
26,8248
24,8094
25,8027
27,7650
23,7613
22,7172
28,7148
29,6600
21,6122
30,5806
20,5424
31,4800
19,4208
32,4202
18,3612
33,3144
34,2624
17,2586
16,2038
35,1991
36,1456
15,1375
37,1063
14,1002
38,698
13,584
39,522
12,416
40,339
41,248
11,199
10,164
42,152
43,105
44,58
9,58
8,41
45,33
47,16
46,15
7,15
6,6
48,5
49,4
5,3
4,2
50,2
3,1
57,1
