Points,Count
26,7746
24,7658
25,7628
27,7264
23,7244
28,7037
22,6757
29,6357
21,5827
30,5611
20,5420
31,4857
19,4347
32,4102
18,3610
33,3375
17,2795
34,2727
16,2257
35,2151
36,1670
15,1618
37,1221
14,1203
38,947
13,773
39,676
12,532
40,490
11,354
41,338
42,222
43,189
10,186
9,135
44,100
45,63
46,50
8,41
47,31
48,22
7,20
49,12
6,11
50,6
53,4
5,3
51,2
54,1
2,1
58,1
