Final Score Set,Total Count
"(117, 130)",13
"(81, 86)",13
"(117, 128)",13
"(104, 125)",13
"(97, 121)",13
"(122, 108)",13
"(97, 120)",13
"(107, 89)",13
"(122, 124)",13
"(98, 122)",13
"(98, 84)",13
"(102, 86)",13
"(126, 118)",13
"(117, 103)",13
"(88, 82)",13
"(127, 120)",13
"(93, 119)",13
"(93, 121)",13
"(127, 121)",13
"(112, 91)",13
"(118, 119)",13
"(112, 129)",13
"(105, 128)",13
"(115, 98)",13
"(125, 121)",13
"(99, 126)",13
"(113, 98)",13
"(119, 118)",13
"(105, 125)",13
"(115, 126)",13
"(77, 93)",13
"(79, 93)",13
"(123, 128)",13
"(80, 99)",13
"(100, 84)",13
"(95, 122)",13
"(95, 119)",13
"(79, 99)",13
"(91, 82)",13
"(83, 108)",13
"(104, 89)",13
"(120, 118)",13
"(104, 90)",13
"(90, 114)",13
"(99, 122)",13
"(83, 102)",13
"(114, 131)",13
"(108, 88)",13
"(83, 87)",13
"(110, 127)",13
"(114, 90)",13
"(81, 100)",12
"(126, 124)",12
"(111, 131)",12
"(114, 125)",12
"(108, 130)",12
"(114, 124)",12
"(114, 94)",12
"(106, 127)",12
"(83, 74)",12
"(78, 87)",12
"(109, 128)",12
"(81, 90)",12
"(128, 124)",12
"(97, 125)",12
"(80, 103)",12
"(110, 93)",12
"(82, 84)",12
"(125, 118)",12
"(94, 114)",12
"(99, 84)",12
"(115, 130)",12
"(116, 130)",12
"(82, 111)",12
"(79, 86)",12
"(80, 102)",12
"(102, 83)",12
"(125, 113)",12
"(111, 94)",12
"(80, 95)",12
"(93, 118)",12
"(121, 123)",12
"(96, 80)",12
"(126, 112)",12
"(108, 126)",12
"(108, 128)",12
"(113, 127)",12
"(104, 128)",12
"(123, 109)",12
"(124, 119)",12
"(86, 118)",12
"(119, 104)",12
"(123, 129)",12
"(119, 120)",12
"(103, 123)",12
"(127, 129)",12
"(119, 128)",12
"(119, 129)",12
"(103, 125)",12
"(103, 128)",12
"(105, 129)",12
"(105, 127)",12
"(90, 117)",12
"(118, 103)",12
"(87, 113)",12
"(87, 114)",12
"(122, 125)",12
"(120, 106)",12
"(120, 126)",12
"(121, 130)",12
"(121, 124)",12
"(124, 114)",12
"(122, 120)",12
"(121, 109)",12
"(89, 77)",12
"(121, 110)",12
"(124, 108)",12
"(81, 102)",12
"(92, 115)",12
"(109, 130)",11
"(108, 129)",11
"(124, 122)",11
"(79, 97)",11
"(125, 116)",11
"(124, 112)",11
"(79, 103)",11
"(108, 127)",11
"(109, 90)",11
"(115, 128)",11
"(119, 130)",11
"(97, 81)",11
"(97, 79)",11
"(89, 113)",11
"(122, 101)",11
"(98, 123)",11
"(90, 79)",11
"(125, 111)",11
"(103, 129)",11
"(125, 110)",11
"(112, 90)",11
"(88, 80)",11
"(84, 83)",11
"(119, 101)",11
"(84, 80)",11
"(84, 79)",11
"(108, 89)",11
"(108, 90)",11
"(116, 96)",11
"(122, 130)",11
"(112, 94)",11
"(100, 125)",11
"(85, 112)",11
"(86, 111)",11
"(86, 112)",11
"(78, 83)",11
"(121, 128)",11
"(84, 107)",11
"(78, 99)",11
"(113, 131)",11
"(113, 130)",11
"(87, 82)",11
"(113, 128)",11
"(78, 95)",11
"(78, 86)",11
"(120, 103)",11
"(125, 128)",11
"(82, 108)",11
"(80, 104)",11
"(120, 111)",11
"(80, 100)",11
"(113, 93)",11
"(104, 86)",11
"(90, 80)",11
"(87, 79)",11
"(128, 123)",11
"(113, 132)",11
"(95, 121)",11
"(110, 132)",11
"(110, 130)",11
"(117, 133)",11
"(87, 74)",11
"(90, 112)",11
"(124, 109)",11
"(120, 100)",11
"(80, 82)",11
"(110, 90)",11
"(99, 125)",11
"(120, 133)",11
"(96, 122)",11
"(120, 101)",11
"(105, 88)",11
"(124, 107)",11
"(125, 114)",11
"(93, 82)",11
"(94, 80)",11
"(121, 108)",11
"(101, 88)",11
"(93, 120)",11
"(126, 119)",11
"(81, 108)",11
"(121, 106)",11
"(88, 117)",11
"(74, 92)",11
"(123, 118)",11
"(75, 94)",11
"(117, 96)",11
"(118, 131)",11
"(127, 122)",11
"(97, 124)",11
"(89, 78)",11
"(75, 86)",11
"(123, 107)",11
"(128, 122)",11
"(84, 110)",11
"(74, 86)",11
"(102, 128)",11
"(81, 105)",11
"(92, 81)",11
"(83, 109)",10
"(106, 128)",10
"(111, 129)",10
"(85, 79)",10
"(124, 128)",10
"(125, 124)",10
"(126, 133)",10
"(124, 110)",10
"(120, 95)",10
"(120, 97)",10
"(76, 84)",10
"(107, 128)",10
"(84, 109)",10
"(125, 123)",10
"(75, 88)",10
"(78, 94)",10
"(92, 77)",10
"(99, 82)",10
"(78, 102)",10
"(126, 128)",10
"(122, 109)",10
"(102, 126)",10
"(107, 88)",10
"(126, 131)",10
"(122, 103)",10
"(82, 83)",10
"(125, 106)",10
"(85, 109)",10
"(99, 131)",10
"(95, 124)",10
"(89, 79)",10
"(92, 78)",10
"(101, 125)",10
"(89, 80)",10
"(124, 118)",10
"(122, 105)",10
"(100, 79)",10
"(99, 130)",10
"(93, 72)",10
"(113, 90)",10
"(114, 127)",10
"(123, 106)",10
"(123, 131)",10
"(80, 101)",10
"(129, 114)",10
"(121, 100)",10
"(86, 79)",10
"(104, 127)",10
"(77, 99)",10
"(77, 101)",10
"(122, 121)",10
"(127, 124)",10
"(91, 119)",10
"(126, 103)",10
"(126, 123)",10
"(91, 120)",10
"(116, 97)",10
"(108, 87)",10
"(85, 86)",10
"(85, 111)",10
"(84, 114)",10
"(113, 91)",10
"(132, 128)",10
"(103, 83)",10
"(125, 105)",10
"(103, 85)",10
"(116, 136)",10
"(125, 112)",10
"(115, 127)",10
"(129, 130)",10
"(126, 122)",10
"(107, 129)",10
"(109, 89)",10
"(123, 124)",10
"(108, 135)",10
"(114, 130)",10
"(76, 86)",10
"(111, 90)",10
"(77, 85)",10
"(128, 120)",10
"(124, 125)",10
"(79, 105)",10
"(85, 113)",10
"(97, 123)",10
"(127, 131)",10
"(115, 93)",10
"(115, 94)",10
"(121, 98)",10
"(121, 99)",10
"(77, 82)",9
"(82, 105)",9
"(127, 113)",9
"(120, 125)",9
"(90, 77)",9
"(90, 78)",9
"(76, 93)",9
"(80, 112)",9
"(81, 80)",9
"(127, 119)",9
"(96, 120)",9
"(81, 82)",9
"(112, 87)",9
"(112, 93)",9
"(88, 116)",9
"(105, 83)",9
"(130, 126)",9
"(81, 106)",9
"(81, 104)",9
"(76, 101)",9
"(105, 85)",9
"(82, 77)",9
"(82, 79)",9
"(97, 82)",9
"(104, 130)",9
"(97, 78)",9
"(97, 126)",9
"(122, 97)",9
"(98, 124)",9
"(98, 125)",9
"(104, 129)",9
"(81, 95)",9
"(110, 129)",9
"(92, 121)",9
"(89, 116)",9
"(118, 95)",9
"(104, 85)",9
"(124, 106)",9
"(118, 94)",9
"(128, 108)",9
"(77, 98)",9
"(100, 123)",9
"(77, 95)",9
"(94, 123)",9
"(77, 94)",9
"(86, 115)",9
"(93, 79)",9
"(122, 131)",9
"(77, 87)",9
"(124, 123)",9
"(73, 96)",9
"(113, 95)",9
"(91, 79)",9
"(114, 132)",9
"(91, 77)",9
"(114, 129)",9
"(91, 123)",9
"(91, 124)",9
"(103, 86)",9
"(131, 123)",9
"(118, 99)",9
"(118, 100)",9
"(85, 81)",9
"(102, 125)",9
"(102, 80)",9
"(126, 113)",9
"(102, 129)",9
"(124, 131)",9
"(117, 98)",9
"(101, 127)",9
"(78, 103)",9
"(102, 131)",9
"(117, 92)",9
"(107, 130)",9
"(79, 80)",9
"(118, 130)",9
"(118, 133)",9
"(123, 108)",9
"(123, 127)",9
"(129, 118)",9
"(114, 95)",9
"(80, 79)",9
"(87, 76)",9
"(99, 127)",9
"(87, 112)",9
"(80, 85)",9
"(90, 118)",9
"(109, 127)",9
"(95, 128)",9
"(87, 116)",9
"(76, 85)",9
"(80, 86)",9
"(125, 127)",9
"(73, 82)",9
"(83, 115)",9
"(117, 139)",9
"(77, 83)",9
"(85, 108)",9
"(104, 84)",9
"(98, 82)",8
"(79, 85)",8
"(109, 137)",8
"(104, 132)",8
"(76, 102)",8
"(79, 81)",8
"(122, 104)",8
"(75, 89)",8
"(104, 83)",8
"(75, 90)",8
"(74, 94)",8
"(78, 106)",8
"(78, 96)",8
"(110, 88)",8
"(78, 98)",8
"(76, 90)",8
"(75, 91)",8
"(111, 87)",8
"(101, 84)",8
"(101, 82)",8
"(73, 89)",8
"(111, 88)",8
"(73, 91)",8
"(111, 89)",8
"(122, 133)",8
"(124, 111)",8
"(79, 104)",8
"(98, 127)",8
"(103, 130)",8
"(78, 84)",8
"(78, 100)",8
"(98, 128)",8
"(75, 84)",8
"(76, 94)",8
"(99, 129)",8
"(125, 104)",8
"(72, 88)",8
"(77, 102)",8
"(99, 81)",8
"(109, 133)",8
"(108, 85)",8
"(108, 83)",8
"(73, 86)",8
"(75, 95)",8
"(107, 135)",8
"(76, 81)",8
"(112, 130)",8
"(129, 128)",8
"(119, 99)",8
"(91, 118)",8
"(83, 113)",8
"(83, 82)",8
"(83, 79)",8
"(119, 133)",8
"(125, 126)",8
"(121, 134)",8
"(90, 122)",8
"(82, 110)",8
"(90, 120)",8
"(90, 119)",8
"(120, 99)",8
"(87, 117)",8
"(87, 120)",8
"(120, 104)",8
"(123, 125)",8
"(112, 135)",8
"(96, 132)",8
"(112, 131)",8
"(128, 121)",8
"(115, 89)",8
"(89, 119)",8
"(115, 90)",8
"(126, 120)",8
"(129, 124)",8
"(129, 125)",8
"(117, 134)",8
"(129, 122)",8
"(129, 135)",8
"(92, 125)",8
"(92, 120)",8
"(94, 78)",8
"(85, 114)",8
"(116, 94)",8
"(123, 132)",8
"(115, 135)",8
"(92, 79)",8
"(115, 131)",8
"(94, 119)",8
"(94, 121)",8
"(118, 132)",8
"(115, 96)",8
"(121, 129)",8
"(86, 76)",8
"(117, 99)",8
"(121, 102)",8
"(130, 124)",8
"(82, 76)",8
"(81, 103)",8
"(82, 80)",8
"(88, 113)",8
"(103, 81)",7
"(108, 131)",7
"(126, 125)",7
"(131, 116)",7
"(106, 86)",7
"(79, 111)",7
"(119, 96)",7
"(119, 97)",7
"(109, 85)",7
"(125, 107)",7
"(119, 100)",7
"(109, 88)",7
"(95, 78)",7
"(95, 76)",7
"(117, 137)",7
"(106, 85)",7
"(127, 118)",7
"(128, 129)",7
"(78, 82)",7
"(102, 82)",7
"(101, 130)",7
"(122, 132)",7
"(85, 80)",7
"(73, 85)",7
"(93, 78)",7
"(77, 106)",7
"(93, 77)",7
"(76, 103)",7
"(100, 80)",7
"(98, 79)",7
"(117, 132)",7
"(95, 81)",7
"(129, 109)",7
"(75, 98)",7
"(122, 123)",7
"(118, 96)",7
"(97, 127)",7
"(101, 83)",7
"(130, 127)",7
"(94, 76)",7
"(75, 72)",7
"(116, 92)",7
"(76, 99)",7
"(92, 119)",7
"(84, 75)",7
"(84, 76)",7
"(124, 126)",7
"(131, 127)",7
"(104, 131)",7
"(132, 129)",7
"(129, 117)",7
"(116, 129)",7
"(118, 97)",7
"(75, 97)",7
"(126, 127)",7
"(133, 129)",7
"(75, 96)",7
"(129, 110)",7
"(129, 120)",7
"(121, 103)",7
"(81, 79)",7
"(79, 100)",7
"(81, 114)",7
"(81, 113)",7
"(94, 126)",7
"(123, 103)",7
"(81, 110)",7
"(130, 125)",7
"(111, 136)",7
"(101, 85)",7
"(83, 112)",7
"(77, 97)",7
"(104, 126)",7
"(128, 110)",7
"(99, 78)",7
"(88, 76)",7
"(96, 126)",7
"(130, 122)",7
"(82, 81)",7
"(107, 82)",7
"(87, 77)",7
"(76, 79)",7
"(122, 119)",7
"(110, 89)",7
"(82, 107)",7
"(97, 77)",7
"(80, 110)",7
"(90, 116)",7
"(109, 131)",7
"(97, 80)",7
"(124, 133)",7
"(127, 104)",7
"(107, 86)",7
"(72, 97)",7
"(70, 87)",7
"(123, 122)",7
"(121, 131)",7
"(112, 132)",7
"(126, 108)",7
"(98, 132)",7
"(120, 132)",7
"(120, 131)",7
"(120, 130)",7
"(76, 91)",7
"(117, 95)",7
"(77, 80)",7
"(117, 94)",7
"(107, 87)",7
"(72, 91)",7
"(74, 102)",7
"(80, 108)",7
"(123, 133)",7
"(80, 81)",7
"(85, 74)",7
"(80, 77)",7
"(106, 134)",7
"(93, 124)",7
"(77, 91)",7
"(114, 88)",7
"(109, 134)",7
"(106, 130)",7
"(86, 116)",7
"(95, 123)",7
"(83, 73)",7
"(83, 75)",7
"(98, 80)",7
"(83, 77)",7
"(127, 123)",7
"(88, 78)",7
"(119, 131)",7
"(132, 127)",7
"(126, 114)",7
"(113, 87)",7
"(103, 127)",7
"(82, 75)",7
"(120, 96)",7
"(74, 95)",7
"(82, 78)",7
"(105, 130)",7
"(128, 119)",7
"(96, 82)",7
"(121, 135)",7
"(126, 110)",6
"(129, 116)",6
"(85, 78)",6
"(131, 135)",6
"(89, 76)",6
"(92, 123)",6
"(76, 98)",6
"(93, 76)",6
"(123, 99)",6
"(78, 101)",6
"(106, 132)",6
"(92, 124)",6
"(107, 84)",6
"(88, 122)",6
"(105, 86)",6
"(129, 115)",6
"(88, 118)",6
"(86, 78)",6
"(77, 96)",6
"(86, 82)",6
"(119, 102)",6
"(86, 119)",6
"(123, 130)",6
"(91, 78)",6
"(77, 84)",6
"(127, 130)",6
"(119, 132)",6
"(105, 131)",6
"(87, 72)",6
"(90, 121)",6
"(75, 114)",6
"(88, 77)",6
"(105, 80)",6
"(76, 87)",6
"(127, 105)",6
"(88, 75)",6
"(127, 106)",6
"(127, 112)",6
"(121, 101)",6
"(121, 95)",6
"(86, 77)",6
"(77, 104)",6
"(78, 80)",6
"(75, 101)",6
"(78, 79)",6
"(85, 118)",6
"(118, 92)",6
"(121, 104)",6
"(124, 104)",6
"(75, 82)",6
"(118, 93)",6
"(86, 74)",6
"(102, 132)",6
"(102, 133)",6
"(118, 129)",6
"(129, 112)",6
"(75, 93)",6
"(129, 111)",6
"(103, 82)",6
"(89, 121)",6
"(91, 127)",6
"(106, 84)",6
"(91, 121)",6
"(106, 83)",6
"(106, 82)",6
"(75, 100)",6
"(77, 109)",6
"(119, 98)",6
"(71, 88)",6
"(101, 128)",6
"(128, 97)",6
"(96, 81)",6
"(96, 77)",6
"(133, 124)",6
"(130, 107)",6
"(114, 91)",6
"(95, 125)",6
"(114, 93)",6
"(83, 80)",6
"(69, 90)",6
"(125, 132)",6
"(125, 134)",6
"(100, 82)",6
"(100, 83)",6
"(73, 92)",6
"(95, 79)",6
"(100, 127)",6
"(124, 97)",6
"(109, 84)",6
"(73, 94)",6
"(131, 112)",6
"(114, 133)",6
"(114, 134)",6
"(79, 110)",6
"(114, 135)",6
"(128, 135)",6
"(115, 86)",6
"(115, 88)",6
"(115, 91)",6
"(94, 124)",6
"(94, 122)",6
"(82, 120)",6
"(130, 116)",6
"(82, 112)",6
"(80, 106)",6
"(71, 85)",6
"(71, 82)",6
"(71, 80)",6
"(111, 132)",6
"(111, 134)",6
"(112, 89)",6
"(128, 116)",6
"(128, 114)",6
"(128, 113)",6
"(130, 135)",6
"(97, 75)",6
"(70, 89)",6
"(128, 125)",6
"(98, 126)",6
"(133, 118)",6
"(110, 133)",6
"(112, 133)",6
"(72, 74)",6
"(127, 128)",6
"(96, 128)",6
"(72, 99)",6
"(72, 102)",6
"(96, 127)",6
"(99, 79)",6
"(130, 120)",6
"(82, 104)",6
"(128, 111)",6
"(80, 114)",6
"(110, 85)",6
"(115, 133)",6
"(100, 81)",6
"(93, 127)",6
"(129, 127)",6
"(74, 77)",6
"(129, 140)",6
"(84, 74)",6
"(84, 117)",6
"(74, 93)",6
"(84, 78)",6
"(84, 108)",6
"(108, 84)",6
"(79, 82)",6
"(101, 80)",6
"(84, 113)",6
"(74, 90)",6
"(101, 78)",6
"(126, 102)",6
"(124, 101)",6
"(74, 98)",6
"(74, 84)",6
"(117, 93)",6
"(100, 128)",6
"(128, 105)",6
"(129, 131)",6
"(107, 131)",6
"(101, 124)",6
"(79, 78)",6
"(84, 119)",6
"(73, 98)",6
"(93, 130)",6
"(127, 109)",5
"(129, 132)",5
"(127, 111)",5
"(110, 87)",5
"(127, 110)",5
"(76, 74)",5
"(72, 90)",5
"(127, 108)",5
"(74, 83)",5
"(130, 118)",5
"(74, 82)",5
"(107, 134)",5
"(120, 102)",5
"(72, 82)",5
"(117, 131)",5
"(127, 101)",5
"(75, 87)",5
"(70, 85)",5
"(112, 139)",5
"(125, 99)",5
"(117, 97)",5
"(126, 111)",5
"(111, 133)",5
"(107, 85)",5
"(128, 131)",5
"(111, 141)",5
"(130, 131)",5
"(74, 103)",5
"(71, 94)",5
"(71, 95)",5
"(125, 101)",5
"(71, 77)",5
"(107, 80)",5
"(111, 85)",5
"(105, 84)",5
"(122, 99)",5
"(70, 91)",5
"(110, 135)",5
"(126, 116)",5
"(117, 91)",5
"(74, 91)",5
"(74, 88)",5
"(74, 87)",5
"(110, 83)",5
"(125, 130)",5
"(129, 134)",5
"(74, 76)",5
"(73, 90)",5
"(106, 78)",5
"(125, 141)",5
"(126, 109)",5
"(106, 80)",5
"(118, 89)",5
"(118, 90)",5
"(109, 87)",5
"(74, 78)",5
"(131, 113)",5
"(108, 132)",5
"(75, 77)",5
"(106, 87)",5
"(75, 105)",5
"(121, 137)",5
"(75, 83)",5
"(73, 102)",5
"(73, 95)",5
"(73, 101)",5
"(118, 101)",5
"(115, 92)",5
"(68, 88)",5
"(126, 129)",5
"(126, 130)",5
"(126, 134)",5
"(73, 97)",5
"(67, 81)",5
"(105, 134)",5
"(120, 98)",5
"(130, 109)",5
"(113, 88)",5
"(113, 89)",5
"(116, 140)",5
"(116, 138)",5
"(126, 132)",5
"(116, 135)",5
"(125, 131)",5
"(129, 119)",5
"(130, 114)",5
"(130, 113)",5
"(110, 82)",5
"(130, 110)",5
"(127, 132)",5
"(69, 88)",5
"(131, 106)",5
"(127, 94)",5
"(127, 136)",5
"(127, 138)",5
"(116, 134)",5
"(114, 92)",5
"(131, 120)",5
"(128, 99)",5
"(73, 77)",5
"(73, 83)",5
"(105, 132)",5
"(131, 119)",5
"(105, 82)",5
"(127, 126)",5
"(76, 97)",5
"(94, 125)",5
"(136, 120)",5
"(83, 72)",5
"(96, 79)",5
"(96, 76)",5
"(83, 78)",5
"(83, 110)",5
"(78, 97)",5
"(83, 116)",5
"(78, 74)",5
"(95, 77)",5
"(133, 132)",5
"(133, 135)",5
"(102, 127)",5
"(102, 130)",5
"(132, 117)",5
"(132, 124)",5
"(123, 137)",5
"(103, 77)",5
"(84, 77)",5
"(103, 80)",5
"(84, 112)",5
"(94, 77)",5
"(77, 110)",5
"(94, 74)",5
"(94, 73)",5
"(93, 125)",5
"(77, 105)",5
"(93, 75)",5
"(77, 103)",5
"(77, 100)",5
"(82, 114)",5
"(96, 125)",5
"(103, 133)",5
"(98, 130)",5
"(79, 106)",5
"(100, 77)",5
"(122, 139)",5
"(99, 128)",5
"(99, 124)",5
"(99, 123)",5
"(132, 135)",5
"(132, 133)",5
"(132, 130)",5
"(80, 78)",5
"(80, 107)",5
"(80, 109)",5
"(80, 113)",5
"(133, 102)",5
"(79, 77)",5
"(132, 126)",5
"(79, 76)",5
"(81, 71)",5
"(81, 76)",5
"(98, 78)",5
"(98, 77)",5
"(124, 102)",5
"(133, 111)",5
"(78, 111)",5
"(133, 112)",5
"(124, 103)",5
"(78, 108)",5
"(81, 111)",5
"(78, 104)",5
"(101, 132)",5
"(103, 131)",5
"(100, 126)",5
"(77, 78)",5
"(135, 128)",5
"(89, 75)",5
"(86, 117)",5
"(85, 119)",5
"(86, 114)",5
"(123, 102)",5
"(87, 124)",5
"(90, 75)",5
"(77, 79)",5
"(88, 115)",5
"(92, 74)",5
"(86, 75)",5
"(134, 131)",5
"(91, 125)",5
"(92, 118)",5
"(87, 75)",5
"(92, 122)",5
"(91, 74)",5
"(89, 118)",5
"(87, 118)",5
"(76, 104)",5
"(91, 126)",5
"(98, 75)",4
"(71, 86)",4
"(117, 142)",4
"(71, 93)",4
"(87, 119)",4
"(127, 103)",4
"(81, 78)",4
"(81, 75)",4
"(81, 72)",4
"(135, 115)",4
"(128, 115)",4
"(111, 86)",4
"(90, 76)",4
"(122, 93)",4
"(98, 74)",4
"(90, 129)",4
"(128, 127)",4
"(133, 108)",4
"(82, 73)",4
"(128, 118)",4
"(125, 108)",4
"(129, 99)",4
"(128, 117)",4
"(71, 78)",4
"(81, 116)",4
"(112, 88)",4
"(112, 86)",4
"(112, 84)",4
"(120, 88)",4
"(81, 107)",4
"(130, 128)",4
"(111, 139)",4
"(120, 90)",4
"(97, 131)",4
"(111, 135)",4
"(120, 92)",4
"(87, 73)",4
"(128, 130)",4
"(122, 141)",4
"(128, 112)",4
"(122, 98)",4
"(127, 116)",4
"(131, 107)",4
"(88, 123)",4
"(89, 74)",4
"(99, 132)",4
"(134, 135)",4
"(128, 102)",4
"(73, 76)",4
"(122, 136)",4
"(122, 135)",4
"(132, 140)",4
"(73, 87)",4
"(100, 76)",4
"(134, 137)",4
"(131, 111)",4
"(131, 115)",4
"(108, 133)",4
"(79, 112)",4
"(79, 108)",4
"(79, 107)",4
"(79, 102)",4
"(109, 140)",4
"(80, 74)",4
"(80, 75)",4
"(72, 89)",4
"(122, 100)",4
"(134, 123)",4
"(98, 131)",4
"(112, 136)",4
"(140, 133)",4
"(72, 78)",4
"(72, 79)",4
"(72, 80)",4
"(72, 81)",4
"(99, 73)",4
"(121, 96)",4
"(72, 96)",4
"(99, 74)",4
"(72, 98)",4
"(120, 143)",4
"(80, 111)",4
"(89, 123)",4
"(122, 102)",4
"(80, 105)",4
"(127, 115)",4
"(133, 115)",4
"(82, 113)",4
"(121, 136)",4
"(121, 140)",4
"(84, 115)",4
"(67, 89)",4
"(84, 111)",4
"(126, 135)",4
"(92, 73)",4
"(84, 73)",4
"(123, 104)",4
"(116, 90)",4
"(116, 89)",4
"(118, 134)",4
"(92, 76)",4
"(121, 141)",4
"(115, 137)",4
"(115, 134)",4
"(115, 132)",4
"(118, 136)",4
"(94, 128)",4
"(118, 137)",4
"(129, 113)",4
"(68, 79)",4
"(84, 116)",4
"(135, 134)",4
"(68, 95)",4
"(123, 134)",4
"(92, 131)",4
"(92, 128)",4
"(117, 135)",4
"(92, 126)",4
"(123, 98)",4
"(123, 95)",4
"(85, 117)",4
"(85, 75)",4
"(85, 71)",4
"(126, 107)",4
"(129, 133)",4
"(118, 88)",4
"(126, 106)",4
"(84, 123)",4
"(93, 122)",4
"(93, 123)",4
"(117, 87)",4
"(117, 86)",4
"(129, 126)",4
"(133, 141)",4
"(94, 130)",4
"(94, 132)",4
"(112, 138)",4
"(70, 81)",4
"(113, 134)",4
"(113, 133)",4
"(133, 126)",4
"(69, 94)",4
"(127, 135)",4
"(127, 133)",4
"(127, 99)",4
"(83, 67)",4
"(70, 73)",4
"(70, 83)",4
"(130, 112)",4
"(70, 84)",4
"(82, 116)",4
"(82, 115)",4
"(91, 75)",4
"(130, 115)",4
"(129, 123)",4
"(130, 117)",4
"(96, 129)",4
"(129, 105)",4
"(113, 141)",4
"(128, 133)",4
"(115, 97)",4
"(69, 81)",4
"(115, 95)",4
"(119, 92)",4
"(119, 95)",4
"(133, 130)",4
"(130, 102)",4
"(95, 75)",4
"(125, 138)",4
"(125, 137)",4
"(83, 119)",4
"(100, 131)",4
"(128, 134)",4
"(69, 85)",4
"(83, 117)",4
"(69, 89)",4
"(91, 122)",4
"(83, 111)",4
"(127, 139)",4
"(95, 129)",4
"(114, 87)",4
"(114, 86)",4
"(83, 118)",4
"(96, 130)",4
"(106, 129)",4
"(101, 79)",4
"(78, 81)",4
"(75, 79)",4
"(75, 102)",4
"(106, 137)",4
"(78, 77)",4
"(74, 105)",4
"(75, 81)",4
"(74, 106)",4
"(132, 112)",4
"(79, 74)",4
"(105, 81)",4
"(131, 125)",4
"(105, 79)",4
"(74, 80)",4
"(105, 77)",4
"(78, 107)",4
"(101, 77)",4
"(103, 132)",4
"(100, 134)",4
"(76, 82)",4
"(76, 83)",4
"(102, 78)",4
"(74, 99)",4
"(105, 135)",4
"(101, 74)",4
"(104, 82)",4
"(102, 81)",4
"(131, 121)",4
"(102, 76)",4
"(77, 81)",4
"(124, 105)",4
"(105, 133)",4
"(103, 126)",4
"(105, 75)",4
"(76, 95)",4
"(76, 73)",4
"(75, 107)",4
"(132, 125)",4
"(132, 120)",4
"(74, 81)",4
"(107, 132)",4
"(132, 103)",4
"(128, 106)",4
"(75, 108)",4
"(78, 75)",4
"(104, 136)",4
"(74, 85)",4
"(104, 134)",4
"(101, 81)",4
"(104, 133)",4
"(108, 82)",4
"(102, 135)",4
"(124, 143)",4
"(76, 105)",4
"(75, 85)",4
"(74, 109)",4
"(124, 132)",4
"(78, 116)",4
"(137, 139)",4
"(128, 107)",4
"(101, 129)",4
"(132, 134)",4
"(124, 127)",4
"(76, 108)",4
"(77, 112)",4
"(76, 107)",4
"(74, 97)",4
"(114, 136)",3
"(83, 120)",3
"(95, 69)",3
"(95, 73)",3
"(83, 122)",3
"(83, 121)",3
"(123, 140)",3
"(75, 80)",3
"(114, 138)",3
"(130, 97)",3
"(129, 141)",3
"(132, 116)",3
"(115, 142)",3
"(137, 140)",3
"(115, 138)",3
"(136, 106)",3
"(83, 129)",3
"(94, 127)",3
"(94, 129)",3
"(125, 146)",3
"(68, 90)",3
"(68, 92)",3
"(68, 94)",3
"(78, 66)",3
"(68, 97)",3
"(125, 139)",3
"(133, 134)",3
"(128, 141)",3
"(115, 83)",3
"(128, 137)",3
"(128, 136)",3
"(125, 140)",3
"(73, 106)",3
"(137, 130)",3
"(113, 84)",3
"(96, 75)",3
"(69, 92)",3
"(96, 78)",3
"(136, 114)",3
"(69, 114)",3
"(83, 68)",3
"(107, 73)",3
"(70, 79)",3
"(123, 143)",3
"(107, 78)",3
"(82, 117)",3
"(107, 81)",3
"(107, 83)",3
"(125, 136)",3
"(101, 138)",3
"(130, 119)",3
"(130, 123)",3
"(112, 141)",3
"(112, 140)",3
"(101, 133)",3
"(101, 131)",3
"(96, 133)",3
"(133, 120)",3
"(96, 137)",3
"(128, 126)",3
"(124, 130)",3
"(96, 74)",3
"(102, 75)",3
"(113, 135)",3
"(113, 136)",3
"(125, 135)",3
"(142, 137)",3
"(69, 71)",3
"(138, 142)",3
"(125, 133)",3
"(69, 87)",3
"(78, 76)",3
"(83, 114)",3
"(116, 86)",3
"(136, 113)",3
"(95, 126)",3
"(95, 127)",3
"(114, 89)",3
"(130, 103)",3
"(114, 81)",3
"(114, 80)",3
"(130, 105)",3
"(95, 130)",3
"(128, 132)",3
"(130, 111)",3
"(106, 135)",3
"(106, 136)",3
"(95, 134)",3
"(113, 139)",3
"(113, 137)",3
"(129, 138)",3
"(106, 77)",3
"(116, 88)",3
"(119, 89)",3
"(88, 129)",3
"(120, 94)",3
"(138, 108)",3
"(120, 89)",3
"(77, 66)",3
"(121, 133)",3
"(90, 130)",3
"(129, 100)",3
"(77, 70)",3
"(119, 145)",3
"(119, 139)",3
"(119, 137)",3
"(129, 106)",3
"(87, 71)",3
"(134, 120)",3
"(134, 118)",3
"(135, 118)",3
"(135, 119)",3
"(127, 134)",3
"(104, 81)",3
"(86, 124)",3
"(104, 80)",3
"(86, 122)",3
"(91, 130)",3
"(76, 80)",3
"(119, 94)",3
"(119, 93)",3
"(90, 127)",3
"(90, 123)",3
"(87, 78)",3
"(121, 94)",3
"(134, 141)",3
"(134, 136)",3
"(89, 71)",3
"(88, 126)",3
"(132, 105)",3
"(88, 121)",3
"(88, 74)",3
"(88, 73)",3
"(88, 72)",3
"(121, 97)",3
"(132, 102)",3
