Points,Count
24,8005
26,7922
25,7715
27,7482
23,7452
28,7121
22,6922
29,6393
21,5896
30,5703
20,5355
31,4960
19,4401
32,4121
18,3760
33,3218
17,2804
34,2742
16,2176
35,2075
36,1610
15,1447
37,1128
14,1043
38,825
13,654
39,533
12,481
40,390
41,274
11,268
10,170
42,158
43,124
9,81
44,74
8,58
45,41
46,33
7,20
47,13
6,9
48,9
49,9
5,5
51,4
50,3
54,2
2,1
4,1
57,1
