date_game,visitor_team_name,visitor_pts,home_team_name,home_pts,box_score_text,arena_name,box_id,visitor_boxscore,home_boxscore
Fri Oct 28 1983,Utah Jazz,125,Denver Nuggets,139,/boxscores/198310280DEN.html,McNichols Sports Arena,"['1', '2', '3', '4', 'T']","['28', '34', '36', '27', '125']","['33', '33', '31', '42', '139']"
Fri Oct 28 1983,Boston Celtics,121,Detroit Pistons,127,/boxscores/198310280DET.html,Pontiac Silverdome,"['1', '2', '3', '4', 'T']","['33', '33', '27', '28', '121']","['38', '32', '26', '31', '127']"
Fri Oct 28 1983,Los Angeles Lakers,117,Kansas City Kings,107,/boxscores/198310280KCK.html,Kemper Arena,"['1', '2', '3', '4', 'T']","['30', '33', '25', '29', '117']","['33', '26', '27', '21', '107']"
Fri Oct 28 1983,Indiana Pacers,83,Milwaukee Bucks,104,/boxscores/198310280MIL.html,MECCA Arena,"['1', '2', '3', '4', 'T']","['13', '25', '26', '19', '83']","['27', '31', '24', '22', '104']"
Fri Oct 28 1983,Atlanta Hawks,108,New Jersey Nets,126,/boxscores/198310280NJN.html,Brendan Byrne Arena,"['1', '2', '3', '4', 'T']","['17', '30', '31', '30', '108']","['34', '34', '28', '30', '126']"
Fri Oct 28 1983,Washington Bullets,114,Philadelphia 76ers,117,/boxscores/198310280PHI.html,The Spectrum,"['1', '2', '3', '4', 'T']","['26', '25', '32', '31', '114']","['21', '36', '31', '29', '117']"
Fri Oct 28 1983,San Diego Clippers,93,Portland Trail Blazers,107,/boxscores/198310280POR.html,Memorial Coliseum,"['1', '2', '3', '4', 'T']","['26', '17', '25', '25', '93']","['27', '29', '29', '22', '107']"
Fri Oct 28 1983,Golden State Warriors,110,Seattle SuperSonics,109,/boxscores/198310280SEA.html,Seattle Kingdome,"['1', '2', '3', '4', 'T']","['23', '28', '33', '26', '110']","['24', '26', '29', '30', '109']"
Fri Oct 28 1983,New York Knicks,113,Cleveland Cavaliers,106,/boxscores/198310280CLE.html,Coliseum at Richfield,"['1', '2', '3', '4', 'T']","['28', '36', '19', '30', '113']","['20', '26', '31', '29', '106']"
Sat Oct 29 1983,New Jersey Nets,97,Chicago Bulls,104,/boxscores/198310290CHI.html,Chicago Stadium,"['1', '2', '3', '4', 'T']","['29', '21', '21', '26', '97']","['31', '35', '18', '20', '104']"
