date_game,visitor_team_name,visitor_pts,home_team_name,home_pts,box_score_text,arena_name,box_id,visitor_boxscore,home_boxscore
Fri Nov 1 1996,Chicago Bulls,107,Boston Celtics,98,/boxscores/199611010BOS.html,FleetCenter,"['1', '2', '3', '4', 'T']","['27', '21', '32', '27', '107']","['28', '31', '18', '21', '98']"
Fri Nov 1 1996,Dallas Mavericks,92,Denver Nuggets,91,/boxscores/199611010DEN.html,McNichols Sports Arena,"['1', '2', '3', '4', 'T']","['26', '22', '20', '24', '92']","['26', '22', '23', '20', '91']"
Fri Nov 1 1996,Indiana Pacers,89,Detroit Pistons,95,/boxscores/199611010DET.html,The Palace of Auburn Hills,"['1', '2', '3', '4', 'T']","['17', '28', '14', '30', '89']","['16', '25', '27', '27', '95']"
Fri Nov 1 1996,Los Angeles Clippers,97,Golden State Warriors,85,/boxscores/199611010GSW.html,San Jose Arena,"['1', '2', '3', '4', 'T']","['27', '18', '30', '22', '97']","['29', '13', '23', '20', '85']"
Fri Nov 1 1996,Sacramento Kings,85,Houston Rockets,96,/boxscores/199611010HOU.html,The Summit,"['1', '2', '3', '4', 'T']","['24', '11', '19', '31', '85']","['31', '21', '24', '20', '96']"
Fri Nov 1 1996,Phoenix Suns,82,Los Angeles Lakers,96,/boxscores/199611010LAL.html,Great Western Forum,"['1', '2', '3', '4', 'T']","['20', '20', '29', '13', '82']","['26', '31', '15', '24', '96']"
Fri Nov 1 1996,Atlanta Hawks,81,Miami Heat,94,/boxscores/199611010MIA.html,Miami Arena,"['1', '2', '3', '4', 'T']","['15', '24', '27', '15', '81']","['25', '28', '23', '18', '94']"
Fri Nov 1 1996,San Antonio Spurs,78,Minnesota Timberwolves,82,/boxscores/199611010MIN.html,Target Center,"['1', '2', '3', '4', 'T']","['15', '25', '11', '27', '78']","['24', '15', '15', '28', '82']"
Fri Nov 1 1996,Cleveland Cavaliers,90,New Jersey Nets,77,/boxscores/199611010NJN.html,Continental Airlines Arena,"['1', '2', '3', '4', 'T']","['28', '25', '17', '20', '90']","['19', '20', '16', '22', '77']"
Fri Nov 1 1996,Washington Bullets,96,Orlando Magic,92,/boxscores/199611010ORL.html,Orlando Arena,"['1', '2', '3', '4', 'T']","['18', '27', '24', '27', '96']","['26', '26', '19', '21', '92']"
Fri Nov 1 1996,Milwaukee Bucks,111,Philadelphia 76ers,103,/boxscores/199611010PHI.html,CoreStates Center,"['1', '2', '3', '4', 'T']","['31', '27', '29', '24', '111']","['28', '23', '29', '23', '103']"
Fri Nov 1 1996,New York Knicks,107,Toronto Raptors,99,/boxscores/199611010TOR.html,SkyDome,"['1', '2', '3', '4', 'T']","['26', '23', '25', '33', '107']","['28', '17', '30', '24', '99']"
Fri Nov 1 1996,Seattle SuperSonics,91,Utah Jazz,99,/boxscores/199611010UTA.html,Delta Center,"['1', '2', '3', '4', 'T']","['23', '23', '25', '20', '91']","['28', '25', '22', '24', '99']"
Fri Nov 1 1996,Portland Trail Blazers,114,Vancouver Grizzlies,85,/boxscores/199611010VAN.html,General Motors Place,"['1', '2', '3', '4', 'T']","['29', '27', '30', '28', '114']","['26', '27', '16', '16', '85']"
Sat Nov 2 1996,Detroit Pistons,90,Atlanta Hawks,78,/boxscores/199611020ATL.html,Omni Coliseum,"['1', '2', '3', '4', 'T']","['23', '17', '24', '26', '90']","['20', '24', '15', '19', '78']"
Sat Nov 2 1996,Toronto Raptors,98,Charlotte Hornets,109,/boxscores/199611020CHH.html,Charlotte Coliseum,"['1', '2', '3', '4', 'T']","['27', '23', '29', '19', '98']","['30', '22', '33', '24', '109']"
Sat Nov 2 1996,Philadelphia 76ers,86,Chicago Bulls,115,/boxscores/199611020CHI.html,United Center,"['1', '2', '3', '4', 'T']","['17', '21', '26', '22', '86']","['27', '35', '33', '20', '115']"
Sat Nov 2 1996,Sacramento Kings,107,Dallas Mavericks,94,/boxscores/199611020DAL.html,Reunion Arena,"['1', '2', '3', '4', 'T']","['25', '31', '28', '23', '107']","['24', '13', '22', '35', '94']"
Sat Nov 2 1996,Miami Heat,97,Indiana Pacers,95,/boxscores/199611020IND.html,Market Square Arena,"['1', '2', '3', '4', 'T']","['22', '25', '28', '22', '97']","['29', '19', '18', '29', '95']"
Sat Nov 2 1996,Utah Jazz,95,Los Angeles Clippers,90,/boxscores/199611020LAC.html,Los Angeles Memorial Sports Arena,"['1', '2', '3', '4', 'T']","['26', '20', '32', '17', '95']","['21', '20', '22', '27', '90']"
Sat Nov 2 1996,Boston Celtics,102,Milwaukee Bucks,124,/boxscores/199611020MIL.html,Bradley Center,"['1', '2', '3', '4', 'T']","['21', '15', '33', '33', '102']","['35', '29', '32', '28', '124']"
Sat Nov 2 1996,Houston Rockets,110,Phoenix Suns,95,/boxscores/199611020PHO.html,America West Arena,"['1', '2', '3', '4', 'T']","['31', '18', '28', '33', '110']","['13', '27', '25', '30', '95']"
Sat Nov 2 1996,Portland Trail Blazers,93,Seattle SuperSonics,104,/boxscores/199611020SEA.html,KeyArena at Seattle Center,"['1', '2', '3', '4', 'T']","['26', '11', '27', '29', '93']","['27', '27', '28', '22', '104']"
Sat Nov 2 1996,Cleveland Cavaliers,98,Washington Bullets,96,/boxscores/199611020WSB.html,US Airways Arena,"['1', '2', '3', '4', 'OT', 'T']","['22', '20', '24', '24', '8', '98']","['18', '24', '31', '17', '6', '96']"
Sun Nov 3 1996,Minnesota Timberwolves,85,Los Angeles Lakers,91,/boxscores/199611030LAL.html,Great Western Forum,"['1', '2', '3', '4', 'T']","['23', '24', '22', '16', '85']","['17', '23', '25', '26', '91']"
Sun Nov 3 1996,Charlotte Hornets,86,New York Knicks,113,/boxscores/199611030NYK.html,Madison Square Garden (IV),"['1', '2', '3', '4', 'T']","['11', '25', '20', '30', '86']","['37', '33', '19', '24', '113']"
Sun Nov 3 1996,Denver Nuggets,88,San Antonio Spurs,79,/boxscores/199611030SAS.html,Alamodome,"['1', '2', '3', '4', 'T']","['25', '27', '12', '24', '88']","['18', '16', '22', '23', '79']"
Sun Nov 3 1996,Golden State Warriors,105,Vancouver Grizzlies,95,/boxscores/199611030VAN.html,General Motors Place,"['1', '2', '3', '4', 'T']","['33', '19', '23', '30', '105']","['20', '26', '25', '24', '95']"
Mon Nov 4 1996,Atlanta Hawks,94,Portland Trail Blazers,76,/boxscores/199611040POR.html,Rose Garden Arena,"['1', '2', '3', '4', 'T']","['32', '28', '17', '17', '94']","['13', '27', '19', '17', '76']"
Mon Nov 4 1996,Houston Rockets,75,Utah Jazz,72,/boxscores/199611040UTA.html,Delta Center,"['1', '2', '3', '4', 'T']","['19', '11', '26', '19', '75']","['19', '18', '26', '9', '72']"
Tue Nov 5 1996,Vancouver Grizzlies,73,Chicago Bulls,96,/boxscores/199611050CHI.html,United Center,"['1', '2', '3', '4', 'T']","['27', '16', '13', '17', '73']","['25', '32', '19', '20', '96']"
Tue Nov 5 1996,San Antonio Spurs,74,Cleveland Cavaliers,68,/boxscores/199611050CLE.html,Gund Arena,"['1', '2', '3', '4', 'T']","['15', '16', '19', '24', '74']","['13', '21', '21', '13', '68']"
Tue Nov 5 1996,Los Angeles Clippers,82,Denver Nuggets,78,/boxscores/199611050DEN.html,McNichols Sports Arena,"['1', '2', '3', '4', 'T']","['18', '19', '23', '22', '82']","['30', '17', '19', '12', '78']"
Tue Nov 5 1996,Portland Trail Blazers,111,Golden State Warriors,93,/boxscores/199611050GSW.html,San Jose Arena,"['1', '2', '3', '4', 'T']","['31', '28', '23', '29', '111']","['27', '29', '14', '23', '93']"
Tue Nov 5 1996,Los Angeles Lakers,98,New York Knicks,92,/boxscores/199611050NYK.html,Madison Square Garden (IV),"['1', '2', '3', '4', 'T']","['25', '24', '24', '25', '98']","['22', '23', '23', '24', '92']"
Tue Nov 5 1996,Detroit Pistons,83,Philadelphia 76ers,81,/boxscores/199611050PHI.html,CoreStates Center,"['1', '2', '3', '4', 'T']","['20', '19', '22', '22', '83']","['27', '17', '23', '14', '81']"
Tue Nov 5 1996,Minnesota Timberwolves,98,Phoenix Suns,95,/boxscores/199611050PHO.html,America West Arena,"['1', '2', '3', '4', 'T']","['24', '30', '25', '19', '98']","['28', '19', '20', '28', '95']"
Tue Nov 5 1996,Houston Rockets,102,Sacramento Kings,80,/boxscores/199611050SAC.html,ARCO Arena (II),"['1', '2', '3', '4', 'T']","['25', '24', '22', '31', '102']","['20', '15', '20', '25', '80']"
Tue Nov 5 1996,Atlanta Hawks,117,Seattle SuperSonics,95,/boxscores/199611050SEA.html,KeyArena at Seattle Center,"['1', '2', '3', '4', 'T']","['34', '21', '36', '26', '117']","['29', '29', '18', '19', '95']"
Tue Nov 5 1996,Dallas Mavericks,96,Toronto Raptors,100,/boxscores/199611050TOR.html,SkyDome,"['1', '2', '3', '4', 'T']","['26', '27', '28', '15', '96']","['20', '20', '34', '26', '100']"
Wed Nov 6 1996,Indiana Pacers,84,Boston Celtics,94,/boxscores/199611060BOS.html,FleetCenter,"['1', '2', '3', '4', 'T']","['30', '28', '8', '18', '84']","['17', '18', '38', '21', '94']"
Wed Nov 6 1996,Los Angeles Lakers,78,Charlotte Hornets,88,/boxscores/199611060CHH.html,Charlotte Coliseum,"['1', '2', '3', '4', 'T']","['18', '23', '26', '11', '78']","['18', '15', '37', '18', '88']"
Wed Nov 6 1996,Dallas Mavericks,84,Detroit Pistons,103,/boxscores/199611060DET.html,The Palace of Auburn Hills,"['1', '2', '3', '4', 'T']","['22', '17', '15', '30', '84']","['25', '23', '23', '32', '103']"
Wed Nov 6 1996,Chicago Bulls,106,Miami Heat,100,/boxscores/199611060MIA.html,Miami Arena,"['1', '2', '3', '4', 'T']","['19', '38', '26', '23', '106']","['30', '23', '20', '27', '100']"
Wed Nov 6 1996,Vancouver Grizzlies,89,Milwaukee Bucks,105,/boxscores/199611060MIL.html,Bradley Center,"['1', '2', '3', '4', 'T']","['19', '20', '22', '28', '89']","['24', '26', '23', '32', '105']"
Wed Nov 6 1996,San Antonio Spurs,86,Washington Bullets,96,/boxscores/199611060WSB.html,US Airways Arena,"['1', '2', '3', '4', 'T']","['23', '24', '20', '19', '86']","['26', '17', '27', '26', '96']"
Thu Nov 7 1996,Houston Rockets,110,Denver Nuggets,108,/boxscores/199611070DEN.html,McNichols Sports Arena,"['1', '2', '3', '4', 'OT', 'T']","['30', '20', '27', '17', '16', '110']","['29', '23', '19', '23', '14', '108']"
