date_game,visitor_team_name,visitor_pts,home_team_name,home_pts,box_score_text,arena_name,box_id,visitor_boxscore,home_boxscore
Fri Feb 5 1999,Cleveland Cavaliers,83,Atlanta Hawks,100,/boxscores/199902050ATL.html,Georgia Dome,"['1', '2', '3', '4', 'T']","['21', '24', '22', '16', '83']","['19', '30', '22', '29', '100']"
Fri Feb 5 1999,Toronto Raptors,103,Boston Celtics,92,/boxscores/199902050BOS.html,FleetCenter,"['1', '2', '3', '4', 'T']","['24', '30', '27', '22', '103']","['24', '23', '23', '22', '92']"
Fri Feb 5 1999,Philadelphia 76ers,78,Charlotte Hornets,66,/boxscores/199902050CHH.html,Charlotte Coliseum,"['1', '2', '3', '4', 'T']","['26', '20', '14', '18', '78']","['17', '23', '17', '9', '66']"
Fri Feb 5 1999,Minnesota Timberwolves,110,Denver Nuggets,92,/boxscores/199902050DEN.html,McNichols Sports Arena,"['1', '2', '3', '4', 'T']","['32', '26', '24', '28', '110']","['20', '25', '28', '19', '92']"
Fri Feb 5 1999,Washington Wizards,81,Indiana Pacers,96,/boxscores/199902050IND.html,Market Square Arena,"['1', '2', '3', '4', 'T']","['23', '21', '15', '22', '81']","['30', '17', '22', '27', '96']"
Fri Feb 5 1999,Phoenix Suns,101,Los Angeles Clippers,92,/boxscores/199902050LAC.html,Los Angeles Memorial Sports Arena,"['1', '2', '3', '4', 'T']","['28', '25', '27', '21', '101']","['25', '31', '17', '19', '92']"
Fri Feb 5 1999,Houston Rockets,91,Los Angeles Lakers,99,/boxscores/199902050LAL.html,Great Western Forum,"['1', '2', '3', '4', 'T']","['21', '25', '21', '24', '91']","['26', '17', '25', '31', '99']"
Fri Feb 5 1999,Detroit Pistons,95,Miami Heat,81,/boxscores/199902050MIA.html,Miami Arena,"['1', '2', '3', '4', 'T']","['30', '28', '17', '20', '95']","['22', '22', '23', '14', '81']"
Fri Feb 5 1999,New York Knicks,85,Orlando Magic,93,/boxscores/199902050ORL.html,Orlando Arena,"['1', '2', '3', '4', 'T']","['23', '21', '14', '27', '85']","['21', '25', '27', '20', '93']"
Fri Feb 5 1999,Sacramento Kings,83,San Antonio Spurs,101,/boxscores/199902050SAS.html,Alamodome,"['1', '2', '3', '4', 'T']","['17', '19', '21', '26', '83']","['28', '17', '37', '19', '101']"
Fri Feb 5 1999,Dallas Mavericks,86,Seattle SuperSonics,92,/boxscores/199902050SEA.html,KeyArena at Seattle Center,"['1', '2', '3', '4', 'OT', 'T']","['27', '15', '25', '17', '2', '86']","['21', '25', '18', '20', '8', '92']"
Fri Feb 5 1999,Chicago Bulls,96,Utah Jazz,104,/boxscores/199902050UTA.html,Delta Center,"['1', '2', '3', '4', 'T']","['25', '19', '27', '25', '96']","['29', '30', '28', '17', '104']"
Sat Feb 6 1999,New Jersey Nets,106,Atlanta Hawks,111,/boxscores/199902060ATL.html,Georgia Dome,"['1', '2', '3', '4', 'T']","['20', '23', '31', '32', '106']","['27', '28', '26', '30', '111']"
Sat Feb 6 1999,Cleveland Cavaliers,73,Boston Celtics,77,/boxscores/199902060BOS.html,FleetCenter,"['1', '2', '3', '4', 'T']","['32', '14', '12', '15', '73']","['27', '16', '12', '22', '77']"
Sat Feb 6 1999,Milwaukee Bucks,113,Charlotte Hornets,107,/boxscores/199902060CHH.html,Charlotte Coliseum,"['1', '2', '3', '4', 'OT', 'T']","['20', '29', '24', '26', '14', '113']","['30', '28', '16', '25', '8', '107']"
Sat Feb 6 1999,Houston Rockets,86,Golden State Warriors,84,/boxscores/199902060GSW.html,The Arena in Oakland,"['1', '2', '3', '4', 'T']","['19', '26', '19', '22', '86']","['25', '20', '28', '11', '84']"
Sat Feb 6 1999,Orlando Magic,75,Philadelphia 76ers,95,/boxscores/199902060PHI.html,First Union Center,"['1', '2', '3', '4', 'T']","['21', '26', '11', '17', '75']","['20', '28', '23', '24', '95']"
