date_game,visitor_team_name,visitor_pts,home_team_name,home_pts,box_score_text,arena_name,box_id,visitor_boxscore,home_boxscore
Tue Nov 2 1999,Orlando Magic,86,Charlotte Hornets,100,/boxscores/199911020CHH.html,Charlotte Coliseum,"['1', '2', '3', '4', 'T']","['22', '18', '17', '29', '86']","['21', '21', '37', '21', '100']"
Tue Nov 2 1999,Golden State Warriors,96,Dallas Mavericks,108,/boxscores/199911020DAL.html,Reunion Arena,"['1', '2', '3', '4', 'T']","['28', '23', '24', '21', '96']","['32', '23', '26', '27', '108']"
Tue Nov 2 1999,Phoenix Suns,102,Denver Nuggets,107,/boxscores/199911020DEN.html,Pepsi Center,"['1', '2', '3', '4', 'OT', 'T']","['23', '38', '16', '17', '8', '102']","['29', '18', '25', '22', '13', '107']"
Tue Nov 2 1999,Milwaukee Bucks,98,Houston Rockets,93,/boxscores/199911020HOU.html,Compaq Center,"['1', '2', '3', '4', 'T']","['25', '21', '29', '23', '98']","['28', '26', '20', '19', '93']"
Tue Nov 2 1999,Seattle SuperSonics,104,Los Angeles Clippers,92,/boxscores/199911020LAC.html,STAPLES Center,"['1', '2', '3', '4', 'T']","['25', '37', '26', '16', '104']","['22', '26', '27', '17', '92']"
Tue Nov 2 1999,Detroit Pistons,122,Miami Heat,128,/boxscores/199911020MIA.html,Miami Arena,"['1', '2', '3', '4', 'OT', '2OT', 'T']","['22', '24', '24', '30', '9', '13', '122']","['33', '24', '20', '23', '9', '19', '128']"
Tue Nov 2 1999,Indiana Pacers,119,New Jersey Nets,112,/boxscores/199911020NJN.html,Continental Airlines Arena,"['1', '2', '3', '4', 'T']","['41', '26', '23', '29', '119']","['27', '28', '27', '30', '112']"
Tue Nov 2 1999,Cleveland Cavaliers,84,New York Knicks,92,/boxscores/199911020NYK.html,Madison Square Garden (IV),"['1', '2', '3', '4', 'T']","['20', '27', '18', '19', '84']","['30', '25', '19', '18', '92']"
Tue Nov 2 1999,Philadelphia 76ers,76,San Antonio Spurs,89,/boxscores/199911020SAS.html,Alamodome,"['1', '2', '3', '4', 'T']","['18', '20', '16', '22', '76']","['23', '14', '20', '32', '89']"
Tue Nov 2 1999,Boston Celtics,103,Toronto Raptors,90,/boxscores/199911020TOR.html,Air Canada Centre,"['1', '2', '3', '4', 'T']","['27', '23', '29', '24', '103']","['18', '24', '23', '25', '90']"
Tue Nov 2 1999,Los Angeles Lakers,91,Utah Jazz,84,/boxscores/199911020UTA.html,Delta Center,"['1', '2', '3', '4', 'T']","['25', '18', '20', '28', '91']","['18', '18', '23', '25', '84']"
Tue Nov 2 1999,Portland Trail Blazers,106,Vancouver Grizzlies,86,/boxscores/199911020VAN.html,General Motors Place,"['1', '2', '3', '4', 'T']","['32', '25', '23', '26', '106']","['22', '17', '25', '22', '86']"
Tue Nov 2 1999,Atlanta Hawks,87,Washington Wizards,94,/boxscores/199911020WAS.html,MCI Center,"['1', '2', '3', '4', 'T']","['26', '19', '22', '20', '87']","['24', '28', '23', '19', '94']"
Wed Nov 3 1999,Washington Wizards,101,Boston Celtics,112,/boxscores/199911030BOS.html,FleetCenter,"['1', '2', '3', '4', 'T']","['21', '26', '20', '34', '101']","['28', '25', '36', '23', '112']"
Wed Nov 3 1999,New York Knicks,84,Chicago Bulls,74,/boxscores/199911030CHI.html,United Center,"['1', '2', '3', '4', 'T']","['18', '14', '30', '22', '84']","['18', '12', '25', '19', '74']"
Wed Nov 3 1999,New Jersey Nets,90,Cleveland Cavaliers,97,/boxscores/199911030CLE.html,Gund Arena,"['1', '2', '3', '4', 'T']","['27', '14', '24', '25', '90']","['27', '19', '27', '24', '97']"
Wed Nov 3 1999,Vancouver Grizzlies,88,Los Angeles Lakers,103,/boxscores/199911030LAL.html,STAPLES Center,"['1', '2', '3', '4', 'T']","['22', '26', '19', '21', '88']","['23', '26', '30', '24', '103']"
Wed Nov 3 1999,Detroit Pistons,94,Orlando Magic,103,/boxscores/199911030ORL.html,TD Waterhouse Centre,"['1', '2', '3', '4', 'T']","['21', '24', '23', '26', '94']","['23', '21', '33', '26', '103']"
Wed Nov 3 1999,Los Angeles Clippers,98,Portland Trail Blazers,121,/boxscores/199911030POR.html,Rose Garden Arena,"['1', '2', '3', '4', 'T']","['20', '31', '27', '20', '98']","['30', '29', '33', '29', '121']"
Thu Nov 4 1999,Milwaukee Bucks,119,Atlanta Hawks,109,/boxscores/199911040ATL.html,Philips Arena,"['1', '2', '3', '4', 'T']","['26', '31', '29', '33', '119']","['25', '28', '27', '29', '109']"
Thu Nov 4 1999,Indiana Pacers,89,Charlotte Hornets,98,/boxscores/199911040CHH.html,Charlotte Coliseum,"['1', '2', '3', '4', 'T']","['19', '27', '15', '28', '89']","['29', '30', '22', '17', '98']"
Thu Nov 4 1999,Philadelphia 76ers,80,Phoenix Suns,84,/boxscores/199911040PHO.html,America West Arena,"['1', '2', '3', '4', 'T']","['23', '18', '18', '21', '80']","['26', '16', '26', '16', '84']"
Thu Nov 4 1999,Golden State Warriors,81,San Antonio Spurs,104,/boxscores/199911040SAS.html,Alamodome,"['1', '2', '3', '4', 'T']","['14', '20', '22', '25', '81']","['23', '21', '29', '31', '104']"
Thu Nov 4 1999,Dallas Mavericks,96,Seattle SuperSonics,106,/boxscores/199911040SEA.html,KeyArena at Seattle Center,"['1', '2', '3', '4', 'T']","['25', '21', '28', '22', '96']","['26', '30', '25', '25', '106']"
Thu Nov 4 1999,Miami Heat,86,Toronto Raptors,97,/boxscores/199911040TOR.html,Air Canada Centre,"['1', '2', '3', '4', 'T']","['25', '15', '29', '17', '86']","['20', '27', '19', '31', '97']"
Thu Nov 4 1999,Houston Rockets,82,Utah Jazz,98,/boxscores/199911040UTA.html,Delta Center,"['1', '2', '3', '4', 'T']","['17', '14', '28', '23', '82']","['24', '14', '30', '30', '98']"
