date_game,visitor_team_name,visitor_pts,home_team_name,home_pts,box_score_text,arena_name,box_id,visitor_boxscore,home_boxscore
Tue Oct 14 1969,Seattle SuperSonics,101,New York Knicks,126,/boxscores/196910140NYK.html,Madison Square Garden (IV),"['1', '2', '3', '4', 'T']","['23', '21', '21', '36', '101']","['32', '34', '31', '29', '126']"
Wed Oct 15 1969,Seattle SuperSonics,119,Atlanta Hawks,124,/boxscores/196910150ATL.html,Alexander Memorial Coliseum,"['1', '2', '3', '4', 'T']","['28', '26', '22', '43', '119']","['34', '35', '28', '27', '124']"
Wed Oct 15 1969,Chicago Bulls,93,Baltimore Bullets,98,/boxscores/196910150BAL.html,Baltimore Civic Center,"['1', '2', '3', '4', 'T']","['15', '25', '27', '26', '93']","['24', '21', '19', '34', '98']"
Wed Oct 15 1969,New York Knicks,94,Cincinnati Royals,89,/boxscores/196910150CIN.html,Cincinnati Gardens,"['1', '2', '3', '4', 'T']","['28', '24', '12', '30', '94']","['19', '23', '23', '24', '89']"
Thu Oct 16 1969,San Diego Rockets,114,Phoenix Suns,116,/boxscores/196910160PHO.html,Arizona Veterans Memorial Coliseum,"['1', '2', '3', '4', 'T']","['28', '24', '30', '32', '114']","['30', '32', '29', '25', '116']"
Fri Oct 17 1969,Cincinnati Royals,110,Boston Celtics,108,/boxscores/196910170BOS.html,Boston Garden,"['1', '2', '3', '4', 'T']","['27', '23', '25', '35', '110']","['25', '17', '39', '27', '108']"
Fri Oct 17 1969,New York Knicks,116,Chicago Bulls,87,/boxscores/196910170CHI.html,Chicago Stadium,"['1', '2', '3', '4', 'T']","['21', '32', '32', '31', '116']","['18', '25', '21', '23', '87']"
Fri Oct 17 1969,Los Angeles Lakers,126,Philadelphia 76ers,131,/boxscores/196910170PHI.html,The Spectrum,"['1', '2', '3', '4', 'T']","['31', '26', '35', '34', '126']","['30', '37', '31', '33', '131']"
Sat Oct 18 1969,Los Angeles Lakers,96,New York Knicks,99,/boxscores/196910180NYK.html,Madison Square Garden (IV),"['1', '2', '3', '4', 'T']","['27', '22', '22', '25', '96']","['19', '30', '24', '26', '99']"
Sat Oct 18 1969,San Diego Rockets,125,San Francisco Warriors,124,/boxscores/196910180SFW.html,Cow Palace,"['1', '2', '3', '4', 'OT', 'T']","['31', '25', '36', '24', '9', '125']","['34', '30', '23', '29', '8', '124']"
