date_game,visitor_team_name,visitor_pts,home_team_name,home_pts,box_score_text,arena_name,box_id,visitor_boxscore,home_boxscore
Tue Oct 31 2000,Charlotte Hornets,106,Atlanta Hawks,82,/boxscores/200010310ATL.html,Philips Arena,"['1', '2', '3', '4', 'T']","['28', '22', '33', '23', '106']","['13', '34', '15', '20', '82']"
Tue Oct 31 2000,Cleveland Cavaliers,86,New Jersey Nets,82,/boxscores/200010310NJN.html,Continental Airlines Arena,"['1', '2', '3', '4', 'T']","['18', '26', '18', '24', '86']","['25', '19', '18', '20', '82']"
Tue Oct 31 2000,Washington Wizards,86,Orlando Magic,97,/boxscores/200010310ORL.html,TD Waterhouse Centre,"['1', '2', '3', '4', 'T']","['22', '27', '19', '18', '86']","['31', '23', '17', '26', '97']"
Tue Oct 31 2000,Milwaukee Bucks,93,Dallas Mavericks,97,/boxscores/200010310DAL.html,Reunion Arena,"['1', '2', '3', '4', 'T']","['21', '25', '27', '20', '93']","['30', '23', '28', '16', '97']"
Tue Oct 31 2000,Philadelphia 76ers,101,New York Knicks,72,/boxscores/200010310NYK.html,Madison Square Garden (IV),"['1', '2', '3', '4', 'T']","['26', '25', '29', '21', '101']","['23', '18', '13', '18', '72']"
Tue Oct 31 2000,Detroit Pistons,104,Toronto Raptors,95,/boxscores/200010310TOR.html,Air Canada Centre,"['1', '2', '3', '4', 'T']","['27', '29', '29', '19', '104']","['24', '22', '24', '25', '95']"
Tue Oct 31 2000,Sacramento Kings,100,Chicago Bulls,81,/boxscores/200010310CHI.html,United Center,"['1', '2', '3', '4', 'T']","['25', '21', '23', '31', '100']","['19', '23', '22', '17', '81']"
Tue Oct 31 2000,Minnesota Timberwolves,106,Houston Rockets,98,/boxscores/200010310HOU.html,Compaq Center,"['1', '2', '3', '4', 'T']","['35', '30', '19', '22', '106']","['25', '19', '23', '31', '98']"
Tue Oct 31 2000,Indiana Pacers,85,San Antonio Spurs,98,/boxscores/200010310SAS.html,Alamodome,"['1', '2', '3', '4', 'T']","['12', '29', '19', '25', '85']","['24', '27', '23', '24', '98']"
Tue Oct 31 2000,Los Angeles Clippers,94,Utah Jazz,107,/boxscores/200010310UTA.html,Delta Center,"['1', '2', '3', '4', 'T']","['19', '27', '21', '27', '94']","['22', '28', '34', '23', '107']"
Tue Oct 31 2000,Phoenix Suns,94,Golden State Warriors,96,/boxscores/200010310GSW.html,The Arena in Oakland,"['1', '2', '3', '4', 'T']","['23', '33', '23', '15', '94']","['34', '15', '24', '23', '96']"
Tue Oct 31 2000,Los Angeles Lakers,96,Portland Trail Blazers,86,/boxscores/200010310POR.html,Rose Garden Arena,"['1', '2', '3', '4', 'T']","['27', '26', '14', '29', '96']","['22', '22', '23', '19', '86']"
Tue Oct 31 2000,Seattle SuperSonics,88,Vancouver Grizzlies,94,/boxscores/200010310VAN.html,General Motors Place,"['1', '2', '3', '4', 'T']","['18', '18', '28', '24', '88']","['34', '22', '9', '29', '94']"
Wed Nov 1 2000,Detroit Pistons,83,Boston Celtics,103,/boxscores/200011010BOS.html,FleetCenter,"['1', '2', '3', '4', 'T']","['19', '21', '22', '21', '83']","['29', '27', '18', '29', '103']"
Wed Nov 1 2000,Toronto Raptors,98,Philadelphia 76ers,104,/boxscores/200011010PHI.html,First Union Center,"['1', '2', '3', '4', 'T']","['31', '22', '20', '25', '98']","['25', '34', '16', '29', '104']"
Wed Nov 1 2000,Washington Wizards,95,Charlotte Hornets,77,/boxscores/200011010CHH.html,Charlotte Coliseum,"['1', '2', '3', '4', 'T']","['32', '19', '17', '27', '95']","['21', '21', '14', '21', '77']"
Wed Nov 1 2000,Sacramento Kings,100,Cleveland Cavaliers,102,/boxscores/200011010CLE.html,Gund Arena,"['1', '2', '3', '4', 'OT', '2OT', 'T']","['23', '23', '16', '26', '8', '4', '100']","['27', '23', '19', '19', '8', '6', '102']"
Wed Nov 1 2000,Orlando Magic,79,Miami Heat,105,/boxscores/200011010MIA.html,AmericanAirlines Arena,"['1', '2', '3', '4', 'T']","['14', '21', '18', '26', '79']","['37', '22', '25', '21', '105']"
Wed Nov 1 2000,Denver Nuggets,99,Seattle SuperSonics,112,/boxscores/200011010SEA.html,KeyArena at Seattle Center,"['1', '2', '3', '4', 'T']","['32', '18', '29', '20', '99']","['42', '26', '22', '22', '112']"
Wed Nov 1 2000,Utah Jazz,97,Los Angeles Lakers,92,/boxscores/200011010LAL.html,STAPLES Center,"['1', '2', '3', '4', 'T']","['24', '20', '21', '32', '97']","['16', '15', '25', '36', '92']"
Thu Nov 2 2000,Atlanta Hawks,69,New York Knicks,94,/boxscores/200011020NYK.html,Madison Square Garden (IV),"['1', '2', '3', '4', 'T']","['24', '17', '15', '13', '69']","['31', '20', '16', '27', '94']"
Thu Nov 2 2000,Indiana Pacers,88,Dallas Mavericks,94,/boxscores/200011020DAL.html,Reunion Arena,"['1', '2', '3', '4', 'T']","['19', '24', '20', '25', '88']","['32', '15', '21', '26', '94']"
Thu Nov 2 2000,Minnesota Timberwolves,91,San Antonio Spurs,103,/boxscores/200011020SAS.html,Alamodome,"['1', '2', '3', '4', 'T']","['24', '31', '19', '17', '91']","['23', '22', '29', '29', '103']"
Thu Nov 2 2000,Milwaukee Bucks,93,Houston Rockets,115,/boxscores/200011020HOU.html,Compaq Center,"['1', '2', '3', '4', 'T']","['26', '23', '25', '19', '93']","['37', '33', '15', '30', '115']"
Thu Nov 2 2000,Golden State Warriors,97,Denver Nuggets,101,/boxscores/200011020DEN.html,Pepsi Center,"['1', '2', '3', '4', 'T']","['20', '33', '21', '23', '97']","['24', '23', '29', '25', '101']"
Thu Nov 2 2000,Portland Trail Blazers,82,Phoenix Suns,108,/boxscores/200011020PHO.html,America West Arena,"['1', '2', '3', '4', 'T']","['25', '20', '18', '19', '82']","['29', '35', '19', '25', '108']"
Thu Nov 2 2000,Vancouver Grizzlies,99,Los Angeles Clippers,91,/boxscores/200011020LAC.html,STAPLES Center,"['1', '2', '3', '4', 'T']","['28', '26', '23', '22', '99']","['21', '20', '22', '28', '91']"
Fri Nov 3 2000,New York Knicks,80,Washington Wizards,76,/boxscores/200011030WAS.html,MCI Center,"['1', '2', '3', '4', 'T']","['21', '17', '21', '21', '80']","['20', '13', '22', '21', '76']"
Fri Nov 3 2000,Toronto Raptors,91,Boston Celtics,93,/boxscores/200011030BOS.html,FleetCenter,"['1', '2', '3', '4', 'T']","['33', '16', '17', '25', '91']","['13', '29', '26', '25', '93']"
Fri Nov 3 2000,Miami Heat,79,Charlotte Hornets,83,/boxscores/200011030CHH.html,Charlotte Coliseum,"['1', '2', '3', '4', 'T']","['16', '20', '21', '22', '79']","['19', '23', '20', '21', '83']"
Fri Nov 3 2000,Philadelphia 76ers,87,Orlando Magic,80,/boxscores/200011030ORL.html,TD Waterhouse Centre,"['1', '2', '3', '4', 'T']","['24', '25', '18', '20', '87']","['20', '24', '22', '14', '80']"
Fri Nov 3 2000,Sacramento Kings,100,Detroit Pistons,93,/boxscores/200011030DET.html,The Palace of Auburn Hills,"['1', '2', '3', '4', 'T']","['25', '31', '22', '22', '100']","['22', '27', '22', '22', '93']"
Fri Nov 3 2000,New Jersey Nets,92,Chicago Bulls,82,/boxscores/200011030CHI.html,United Center,"['1', '2', '3', '4', 'T']","['29', '18', '22', '23', '92']","['16', '17', '23', '26', '82']"
Sat Nov 4 2000,Los Angeles Lakers,98,Vancouver Grizzlies,89,/boxscores/200011040VAN.html,General Motors Place,"['1', '2', '3', '4', 'T']","['23', '24', '30', '21', '98']","['18', '22', '20', '29', '89']"
Sat Nov 4 2000,Chicago Bulls,81,Indiana Pacers,94,/boxscores/200011040IND.html,Conseco Fieldhouse,"['1', '2', '3', '4', 'T']","['25', '14', '23', '19', '81']","['24', '26', '21', '23', '94']"
Sat Nov 4 2000,Washington Wizards,96,Toronto Raptors,103,/boxscores/200011040TOR.html,Air Canada Centre,"['1', '2', '3', '4', 'T']","['25', '21', '23', '27', '96']","['27', '26', '23', '27', '103']"
Sat Nov 4 2000,Orlando Magic,107,Atlanta Hawks,104,/boxscores/200011040ATL.html,Philips Arena,"['1', '2', '3', '4', 'T']","['33', '30', '18', '26', '107']","['22', '29', '27', '26', '104']"
Sat Nov 4 2000,Boston Celtics,89,Cleveland Cavaliers,91,/boxscores/200011040CLE.html,Gund Arena,"['1', '2', '3', '4', 'T']","['25', '15', '29', '20', '89']","['23', '29', '25', '14', '91']"
Sat Nov 4 2000,Philadelphia 76ers,84,Miami Heat,82,/boxscores/200011040MIA.html,AmericanAirlines Arena,"['1', '2', '3', '4', 'T']","['21', '20', '27', '16', '84']","['24', '25', '15', '18', '82']"
Sat Nov 4 2000,Utah Jazz,112,Dallas Mavericks,106,/boxscores/200011040DAL.html,Reunion Arena,"['1', '2', '3', '4', 'T']","['30', '19', '33', '30', '112']","['24', '22', '30', '30', '106']"
Sat Nov 4 2000,Sacramento Kings,91,Minnesota Timberwolves,99,/boxscores/200011040MIN.html,Target Center,"['1', '2', '3', '4', 'T']","['23', '21', '26', '21', '91']","['32', '31', '16', '20', '99']"
Sat Nov 4 2000,Charlotte Hornets,98,New Jersey Nets,87,/boxscores/200011040NJN.html,Continental Airlines Arena,"['1', '2', '3', '4', 'T']","['24', '29', '19', '26', '98']","['32', '19', '19', '17', '87']"
Sat Nov 4 2000,Detroit Pistons,88,Milwaukee Bucks,97,/boxscores/200011040MIL.html,Bradley Center,"['1', '2', '3', '4', 'T']","['19', '22', '18', '29', '88']","['24', '27', '29', '17', '97']"
Sat Nov 4 2000,Phoenix Suns,102,Denver Nuggets,99,/boxscores/200011040DEN.html,Pepsi Center,"['1', '2', '3', '4', 'T']","['27', '23', '15', '37', '102']","['19', '26', '25', '29', '99']"
Sat Nov 4 2000,Portland Trail Blazers,97,Seattle SuperSonics,90,/boxscores/200011040SEA.html,KeyArena at Seattle Center,"['1', '2', '3', '4', 'T']","['27', '25', '25', '20', '97']","['22', '20', '20', '28', '90']"
Sat Nov 4 2000,San Antonio Spurs,117,Golden State Warriors,105,/boxscores/200011040GSW.html,The Arena in Oakland,"['1', '2', '3', '4', 'T']","['24', '35', '34', '24', '117']","['21', '25', '27', '32', '105']"
Sat Nov 4 2000,Houston Rockets,74,Los Angeles Clippers,77,/boxscores/200011040LAC.html,STAPLES Center,"['1', '2', '3', '4', 'T']","['22', '18', '19', '15', '74']","['21', '18', '16', '22', '77']"
Sun Nov 5 2000,Houston Rockets,99,Phoenix Suns,104,/boxscores/200011050PHO.html,America West Arena,"['1', '2', '3', '4', 'T']","['22', '21', '21', '35', '99']","['26', '25', '24', '29', '104']"
Sun Nov 5 2000,Los Angeles Clippers,103,Los Angeles Lakers,108,/boxscores/200011050LAL.html,STAPLES Center,"['1', '2', '3', '4', 'T']","['14', '31', '23', '35', '103']","['23', '25', '17', '43', '108']"
Mon Nov 6 2000,Seattle SuperSonics,99,Orlando Magic,110,/boxscores/200011060ORL.html,TD Waterhouse Centre,"['1', '2', '3', '4', 'T']","['24', '21', '22', '32', '99']","['24', '16', '33', '37', '110']"
Mon Nov 6 2000,Dallas Mavericks,108,Denver Nuggets,96,/boxscores/200011060DEN.html,Pepsi Center,"['1', '2', '3', '4', 'T']","['28', '29', '18', '33', '108']","['25', '21', '23', '27', '96']"
Mon Nov 6 2000,Minnesota Timberwolves,92,Utah Jazz,98,/boxscores/200011060UTA.html,Delta Center,"['1', '2', '3', '4', 'T']","['29', '22', '27', '14', '92']","['20', '29', '20', '29', '98']"
Mon Nov 6 2000,Atlanta Hawks,87,Vancouver Grizzlies,97,/boxscores/200011060VAN.html,General Motors Place,"['1', '2', '3', '4', 'T']","['19', '17', '19', '32', '87']","['20', '30', '21', '26', '97']"
Mon Nov 6 2000,Portland Trail Blazers,75,Sacramento Kings,79,/boxscores/200011060SAC.html,ARCO Arena (II),"['1', '2', '3', '4', 'T']","['18', '18', '18', '21', '75']","['19', '19', '25', '16', '79']"
Tue Nov 7 2000,Boston Celtics,75,Toronto Raptors,105,/boxscores/200011070TOR.html,Air Canada Centre,"['1', '2', '3', '4', 'T']","['23', '17', '18', '17', '75']","['30', '18', '41', '16', '105']"
Tue Nov 7 2000,New York Knicks,103,Milwaukee Bucks,89,/boxscores/200011070MIL.html,Bradley Center,"['1', '2', '3', '4', 'T']","['32', '24', '24', '23', '103']","['20', '23', '20', '26', '89']"
Tue Nov 7 2000,Washington Wizards,88,Chicago Bulls,83,/boxscores/200011070CHI.html,United Center,"['1', '2', '3', '4', 'T']","['14', '26', '22', '26', '88']","['22', '19', '15', '27', '83']"
Tue Nov 7 2000,Los Angeles Lakers,74,Houston Rockets,84,/boxscores/200011070HOU.html,Compaq Center,"['1', '2', '3', '4', 'T']","['20', '17', '15', '22', '74']","['22', '21', '15', '26', '84']"
