date_game,visitor_team_name,visitor_pts,home_team_name,home_pts,box_score_text,arena_name,box_id,visitor_boxscore,home_boxscore
Sun Dec 25 2011,Boston Celtics,104,New York Knicks,106,/boxscores/201112250NYK.html,Madison Square Garden (IV),"['1', '2', '3', '4', 'T']","['23', '29', '35', '17', '104']","['34', '28', '17', '27', '106']"
Sun Dec 25 2011,Miami Heat,105,Dallas Mavericks,94,/boxscores/201112250DAL.html,American Airlines Center,"['1', '2', '3', '4', 'T']","['32', '30', '35', '8', '105']","['17', '24', '24', '29', '94']"
Sun Dec 25 2011,Chicago Bulls,88,Los Angeles Lakers,87,/boxscores/201112250LAL.html,STAPLES Center,"['1', '2', '3', '4', 'T']","['22', '34', '12', '20', '88']","['20', '29', '20', '18', '87']"
Sun Dec 25 2011,Orlando Magic,89,Oklahoma City Thunder,97,/boxscores/201112250OKC.html,Chesapeake Energy Arena,"['1', '2', '3', '4', 'T']","['22', '19', '22', '26', '89']","['27', '28', '26', '16', '97']"
Sun Dec 25 2011,Los Angeles Clippers,105,Golden State Warriors,86,/boxscores/201112250GSW.html,Oracle Arena,"['1', '2', '3', '4', 'T']","['24', '17', '34', '30', '105']","['20', '23', '25', '18', '86']"
Mon Dec 26 2011,Toronto Raptors,104,Cleveland Cavaliers,96,/boxscores/201112260CLE.html,Quicken Loans Arena,"['1', '2', '3', '4', 'T']","['23', '29', '26', '26', '104']","['23', '19', '28', '26', '96']"
Mon Dec 26 2011,New Jersey Nets,90,Washington Wizards,84,/boxscores/201112260WAS.html,Verizon Center,"['1', '2', '3', '4', 'T']","['13', '24', '29', '24', '90']","['26', '19', '22', '17', '84']"
Mon Dec 26 2011,Houston Rockets,95,Orlando Magic,104,/boxscores/201112260ORL.html,Amway Center,"['1', '2', '3', '4', 'T']","['23', '27', '23', '22', '95']","['27', '26', '24', '27', '104']"
Mon Dec 26 2011,Detroit Pistons,79,Indiana Pacers,91,/boxscores/201112260IND.html,Bankers Life Fieldhouse,"['1', '2', '3', '4', 'T']","['17', '21', '20', '21', '79']","['26', '26', '24', '15', '91']"
Mon Dec 26 2011,Milwaukee Bucks,95,Charlotte Bobcats,96,/boxscores/201112260CHA.html,Time Warner Cable Arena,"['1', '2', '3', '4', 'T']","['27', '25', '14', '29', '95']","['19', '22', '30', '25', '96']"
Mon Dec 26 2011,Oklahoma City Thunder,104,Minnesota Timberwolves,100,/boxscores/201112260MIN.html,Target Center,"['1', '2', '3', '4', 'T']","['23', '29', '26', '26', '104']","['24', '22', '26', '28', '100']"
Mon Dec 26 2011,Denver Nuggets,115,Dallas Mavericks,93,/boxscores/201112260DAL.html,American Airlines Center,"['1', '2', '3', '4', 'T']","['32', '37', '28', '18', '115']","['23', '19', '26', '25', '93']"
Mon Dec 26 2011,Memphis Grizzlies,82,San Antonio Spurs,95,/boxscores/201112260SAS.html,AT&T Center,"['1', '2', '3', '4', 'T']","['22', '22', '14', '24', '82']","['14', '29', '29', '23', '95']"
Mon Dec 26 2011,New Orleans Hornets,85,Phoenix Suns,84,/boxscores/201112260PHO.html,US Airways Center,"['1', '2', '3', '4', 'T']","['23', '24', '15', '23', '85']","['20', '21', '24', '19', '84']"
Mon Dec 26 2011,Philadelphia 76ers,103,Portland Trail Blazers,107,/boxscores/201112260POR.html,Rose Garden Arena,"['1', '2', '3', '4', 'T']","['15', '29', '28', '31', '103']","['26', '22', '29', '30', '107']"
Mon Dec 26 2011,Los Angeles Lakers,91,Sacramento Kings,100,/boxscores/201112260SAC.html,Power Balance Pavilion,"['1', '2', '3', '4', 'T']","['20', '20', '24', '27', '91']","['21', '28', '29', '22', '100']"
Mon Dec 26 2011,Chicago Bulls,91,Golden State Warriors,99,/boxscores/201112260GSW.html,Oracle Arena,"['1', '2', '3', '4', 'T']","['22', '19', '20', '30', '91']","['30', '27', '21', '21', '99']"
Tue Dec 27 2011,Atlanta Hawks,106,New Jersey Nets,70,/boxscores/201112270NJN.html,Prudential Center,"['1', '2', '3', '4', 'T']","['28', '24', '25', '29', '106']","['11', '19', '25', '15', '70']"
Tue Dec 27 2011,Boston Celtics,107,Miami Heat,115,/boxscores/201112270MIA.html,AmericanAirlines Arena,"['1', '2', '3', '4', 'T']","['27', '27', '29', '24', '107']","['30', '39', '22', '24', '115']"
Tue Dec 27 2011,Minnesota Timberwolves,95,Milwaukee Bucks,98,/boxscores/201112270MIL.html,Bradley Center,"['1', '2', '3', '4', 'T']","['30', '18', '20', '27', '95']","['32', '28', '19', '19', '98']"
Tue Dec 27 2011,Sacramento Kings,79,Portland Trail Blazers,101,/boxscores/201112270POR.html,Rose Garden Arena,"['1', '2', '3', '4', 'T']","['25', '21', '19', '14', '79']","['23', '23', '28', '27', '101']"
Tue Dec 27 2011,Utah Jazz,71,Los Angeles Lakers,96,/boxscores/201112270LAL.html,STAPLES Center,"['1', '2', '3', '4', 'T']","['17', '14', '15', '25', '71']","['18', '23', '30', '25', '96']"
Wed Dec 28 2011,Indiana Pacers,90,Toronto Raptors,85,/boxscores/201112280TOR.html,Air Canada Centre,"['1', '2', '3', '4', 'T']","['18', '20', '25', '27', '90']","['11', '23', '21', '30', '85']"
Wed Dec 28 2011,Miami Heat,96,Charlotte Bobcats,95,/boxscores/201112280CHA.html,Time Warner Cable Arena,"['1', '2', '3', '4', 'T']","['20', '25', '24', '27', '96']","['32', '28', '10', '25', '95']"
Wed Dec 28 2011,Washington Wizards,83,Atlanta Hawks,101,/boxscores/201112280ATL.html,Philips Arena,"['1', '2', '3', '4', 'T']","['17', '25', '22', '19', '83']","['26', '29', '30', '16', '101']"
Wed Dec 28 2011,Cleveland Cavaliers,105,Detroit Pistons,89,/boxscores/201112280DET.html,The Palace of Auburn Hills,"['1', '2', '3', '4', 'T']","['25', '25', '29', '26', '105']","['23', '16', '30', '20', '89']"
Wed Dec 28 2011,Boston Celtics,78,New Orleans Hornets,97,/boxscores/201112280NOH.html,New Orleans Arena,"['1', '2', '3', '4', 'T']","['18', '21', '24', '15', '78']","['24', '24', '24', '25', '97']"
Wed Dec 28 2011,Oklahoma City Thunder,98,Memphis Grizzlies,95,/boxscores/201112280MEM.html,FedEx Forum,"['1', '2', '3', '4', 'T']","['23', '31', '18', '26', '98']","['20', '29', '21', '25', '95']"
Wed Dec 28 2011,Los Angeles Clippers,90,San Antonio Spurs,115,/boxscores/201112280SAS.html,AT&T Center,"['1', '2', '3', '4', 'T']","['19', '35', '17', '19', '90']","['26', '32', '38', '19', '115']"
Wed Dec 28 2011,Philadelphia 76ers,103,Phoenix Suns,83,/boxscores/201112280PHO.html,US Airways Center,"['1', '2', '3', '4', 'T']","['25', '23', '32', '23', '103']","['18', '16', '20', '29', '83']"
Wed Dec 28 2011,Utah Jazz,100,Denver Nuggets,117,/boxscores/201112280DEN.html,Pepsi Center,"['1', '2', '3', '4', 'T']","['23', '23', '20', '34', '100']","['28', '35', '25', '29', '117']"
Wed Dec 28 2011,New York Knicks,78,Golden State Warriors,92,/boxscores/201112280GSW.html,Oracle Arena,"['1', '2', '3', '4', 'T']","['23', '20', '21', '14', '78']","['21', '16', '27', '28', '92']"
Thu Dec 29 2011,New Jersey Nets,78,Orlando Magic,94,/boxscores/201112290ORL.html,Amway Center,"['1', '2', '3', '4', 'T']","['16', '28', '18', '16', '78']","['28', '22', '25', '19', '94']"
Thu Dec 29 2011,San Antonio Spurs,85,Houston Rockets,105,/boxscores/201112290HOU.html,Toyota Center,"['1', '2', '3', '4', 'T']","['18', '17', '24', '26', '85']","['23', '30', '25', '27', '105']"
Thu Dec 29 2011,Dallas Mavericks,102,Oklahoma City Thunder,104,/boxscores/201112290OKC.html,Chesapeake Energy Arena,"['1', '2', '3', '4', 'T']","['29', '23', '24', '26', '102']","['28', '28', '22', '26', '104']"
Thu Dec 29 2011,Denver Nuggets,102,Portland Trail Blazers,111,/boxscores/201112290POR.html,Rose Garden Arena,"['1', '2', '3', '4', 'T']","['17', '36', '26', '23', '102']","['30', '23', '30', '28', '111']"
Thu Dec 29 2011,Chicago Bulls,108,Sacramento Kings,98,/boxscores/201112290SAC.html,Power Balance Pavilion,"['1', '2', '3', '4', 'T']","['30', '30', '25', '23', '108']","['24', '29', '22', '23', '98']"
Thu Dec 29 2011,New York Knicks,82,Los Angeles Lakers,99,/boxscores/201112290LAL.html,STAPLES Center,"['1', '2', '3', '4', 'T']","['24', '27', '21', '10', '82']","['31', '32', '17', '19', '99']"
