date_game,visitor_team_name,visitor_pts,home_team_name,home_pts,box_score_text,arena_name,box_id,visitor_boxscore,home_boxscore
Tue Oct 12 1971,Philadelphia 76ers,114,Chicago Bulls,100,/boxscores/197110120CHI.html,Chicago Stadium,"['1', '2', '3', '4', 'T']","['26', '29', '28', '31', '114']","['18', '31', '25', '26', '100']"
Tue Oct 12 1971,Seattle SuperSonics,123,Buffalo Braves,90,/boxscores/197110120BUF.html,Buffalo Memorial Auditorium,"['1', '2', '3', '4', 'T']","['25', '34', '28', '36', '123']","['26', '26', '18', '20', '90']"
Tue Oct 12 1971,Detroit Pistons,91,New York Knicks,84,/boxscores/197110120NYK.html,Madison Square Garden (IV),"['1', '2', '3', '4', 'T']","['20', '26', '19', '26', '91']","['22', '21', '15', '26', '84']"
Tue Oct 12 1971,Atlanta Hawks,113,Cincinnati Royals,127,/boxscores/197110120CIN.html,Cincinnati Gardens,"['1', '2', '3', '4', 'T']","['19', '33', '28', '33', '113']","['28', '30', '34', '35', '127']"
Thu Oct 14 1971,Philadelphia 76ers,105,Houston Rockets,94,/boxscores/197110140HOU.html,Astrohall,"['1', '2', '3', '4', 'T']","['28', '25', '29', '23', '105']","['27', '19', '29', '19', '94']"
Thu Oct 14 1971,Milwaukee Bucks,110,Phoenix Suns,97,/boxscores/197110140PHO.html,Arizona Veterans Memorial Coliseum,"['1', '2', '3', '4', 'T']","['23', '24', '30', '33', '110']","['30', '20', '19', '28', '97']"
Fri Oct 15 1971,Golden State Warriors,97,Boston Celtics,75,/boxscores/197110150BOS.html,Boston Garden,"['1', '2', '3', '4', 'T']","['23', '20', '23', '31', '97']","['21', '16', '13', '25', '75']"
Fri Oct 15 1971,Baltimore Bullets,82,Chicago Bulls,106,/boxscores/197110150CHI.html,Chicago Stadium,"['1', '2', '3', '4', 'T']","['18', '23', '20', '21', '82']","['25', '25', '26', '30', '106']"
Fri Oct 15 1971,Buffalo Braves,111,Cleveland Cavaliers,109,/boxscores/197110150CLE.html,Cleveland Arena,"['1', '2', '3', '4', 'OT', 'T']","['15', '28', '29', '29', '10', '111']","['33', '21', '28', '19', '8', '109']"
Fri Oct 15 1971,Los Angeles Lakers,132,Detroit Pistons,103,/boxscores/197110150DET.html,Cobo Arena,"['1', '2', '3', '4', 'T']","['26', '37', '33', '36', '132']","['20', '27', '23', '33', '103']"
