date_game,visitor_team_name,visitor_pts,home_team_name,home_pts,box_score_text,arena_name,box_id,visitor_boxscore,home_boxscore
Tue Oct 13 1970,Boston Celtics,107,New York Knicks,114,/boxscores/197010130NYK.html,Madison Square Garden (IV),"['1', '2', '3', '4', 'T']","['27', '27', '26', '27', '107']","['29', '42', '19', '24', '114']"
Tue Oct 13 1970,San Diego Rockets,96,Chicago Bulls,111,/boxscores/197010130CHI.html,Chicago Stadium,"['1', '2', '3', '4', 'T']","['19', '26', '18', '33', '96']","['30', '26', '30', '25', '111']"
Wed Oct 14 1970,Cleveland Cavaliers,92,Buffalo Braves,107,/boxscores/197010140BUF.html,Buffalo Memorial Auditorium,"['1', '2', '3', '4', 'T']","['18', '24', '22', '28', '92']","['29', '27', '31', '20', '107']"
Wed Oct 14 1970,San Diego Rockets,105,Baltimore Bullets,123,/boxscores/197010140BAL.html,Baltimore Civic Center,"['1', '2', '3', '4', 'T']","['21', '22', '20', '42', '105']","['35', '25', '32', '31', '123']"
Wed Oct 14 1970,Detroit Pistons,123,Seattle SuperSonics,117,/boxscores/197010140SEA.html,Seattle Center Coliseum,"['1', '2', '3', '4', 'T']","['32', '27', '41', '23', '123']","['33', '33', '19', '32', '117']"
Wed Oct 14 1970,Chicago Bulls,107,Philadelphia 76ers,110,/boxscores/197010140PHI.html,The Spectrum,"['1', '2', '3', '4', 'T']","['25', '20', '31', '31', '107']","['26', '32', '33', '19', '110']"
Wed Oct 14 1970,New York Knicks,128,Cincinnati Royals,104,/boxscores/197010140CIN.html,Cincinnati Gardens,"['1', '2', '3', '4', 'T']","['38', '30', '24', '36', '128']","['26', '28', '24', '26', '104']"
Thu Oct 15 1970,Boston Celtics,100,Phoenix Suns,119,/boxscores/197010150PHO.html,Arizona Veterans Memorial Coliseum,"['1', '2', '3', '4', 'T']","['26', '28', '24', '22', '100']","['33', '23', '29', '34', '119']"
Fri Oct 16 1970,Los Angeles Lakers,106,Chicago Bulls,102,/boxscores/197010160CHI.html,Chicago Stadium,"['1', '2', '3', '4', 'T']","['33', '29', '22', '22', '106']","['20', '22', '28', '32', '102']"
Fri Oct 16 1970,San Diego Rockets,119,Philadelphia 76ers,127,/boxscores/197010160PHI.html,The Spectrum,"['1', '2', '3', '4', 'T']","['27', '31', '32', '29', '119']","['33', '37', '30', '27', '127']"
Fri Oct 16 1970,Cleveland Cavaliers,112,Portland Trail Blazers,115,/boxscores/197010160POR.html,Memorial Coliseum,"['1', '2', '3', '4', 'T']","['28', '27', '31', '26', '112']","['25', '29', '27', '34', '115']"
