date_game,visitor_team_name,visitor_pts,home_team_name,home_pts,box_score_text,arena_name,box_id,visitor_boxscore,home_boxscore
Thu Oct 17 1974,Seattle SuperSonics,97,Phoenix Suns,114,/boxscores/197410170PHO.html,Arizona Veterans Memorial Coliseum,"['1', '2', '3', '4', 'T']","['23', '17', '29', '28', '97']","['28', '30', '26', '30', '114']"
Thu Oct 17 1974,New Orleans Jazz,74,New York Knicks,89,/boxscores/197410170NYK.html,Madison Square Garden (IV),"['1', '2', '3', '4', 'T']","['19', '22', '18', '15', '74']","['19', '25', '25', '20', '89']"
Fri Oct 18 1974,Buffalo Braves,126,Boston Celtics,119,/boxscores/197410180BOS.html,Boston Garden,"['1', '2', '3', '4', 'T']","['32', '28', '33', '33', '126']","['33', '30', '21', '35', '119']"
Fri Oct 18 1974,Atlanta Hawks,115,Chicago Bulls,120,/boxscores/197410180CHI.html,Chicago Stadium,"['1', '2', '3', '4', 'OT', 'T']","['31', '25', '27', '25', '7', '115']","['23', '28', '25', '32', '12', '120']"
Fri Oct 18 1974,Golden State Warriors,90,Los Angeles Lakers,105,/boxscores/197410180LAL.html,The Forum,"['1', '2', '3', '4', 'T']","['26', '19', '19', '26', '90']","['31', '26', '22', '26', '105']"
Fri Oct 18 1974,Houston Rockets,106,Milwaukee Bucks,101,/boxscores/197410180MIL.html,MECCA Arena,"['1', '2', '3', '4', 'T']","['25', '22', '22', '37', '106']","['18', '24', '29', '30', '101']"
Fri Oct 18 1974,New Orleans Jazz,99,Philadelphia 76ers,112,/boxscores/197410180PHI.html,The Spectrum,"['1', '2', '3', '4', 'T']","['22', '21', '21', '35', '99']","['31', '25', '26', '30', '112']"
Fri Oct 18 1974,Cleveland Cavaliers,129,Portland Trail Blazers,131,/boxscores/197410180POR.html,Memorial Coliseum,"['1', '2', '3', '4', 'OT', '2OT', '3OT', '4OT', 'T']","['20', '20', '30', '27', '8', '8', '8', '8', '129']","['22', '22', '23', '30', '8', '8', '8', '10', '131']"
Fri Oct 18 1974,Detroit Pistons,100,Seattle SuperSonics,95,/boxscores/197410180SEA.html,Seattle Center Coliseum,"['1', '2', '3', '4', 'T']","['27', '25', '21', '27', '100']","['19', '28', '26', '22', '95']"
Sat Oct 19 1974,New Orleans Jazz,92,Washington Bullets,110,/boxscores/197410190WSB.html,Capital Centre,"['1', '2', '3', '4', 'T']","['21', '15', '27', '29', '92']","['27', '28', '34', '21', '110']"
