date_game,visitor_team_name,visitor_pts,home_team_name,home_pts,box_score_text,arena_name,box_id,visitor_boxscore,home_boxscore
Thu Oct 21 1976,Boston Celtics,129,Indiana Pacers,122,/boxscores/197610210IND.html,Market Square Arena,"['1', '2', '3', '4', 'OT', 'T']","['23', '34', '24', '32', '16', '129']","['32', '31', '27', '23', '9', '122']"
Thu Oct 21 1976,Buffalo Braves,133,Milwaukee Bucks,112,/boxscores/197610210MIL.html,MECCA Arena,"['1', '2', '3', '4', 'T']","['30', '41', '26', '36', '133']","['22', '30', '18', '42', '112']"
Thu Oct 21 1976,Los Angeles Lakers,97,New York Knicks,102,/boxscores/197610210NYK.html,Madison Square Garden (IV),"['1', '2', '3', '4', 'T']","['24', '24', '22', '27', '97']","['31', '15', '29', '27', '102']"
Thu Oct 21 1976,Houston Rockets,120,Atlanta Hawks,104,/boxscores/197610210ATL.html,Omni Coliseum,"['1', '2', '3', '4', 'T']","['24', '31', '28', '37', '120']","['30', '25', '21', '28', '104']"
Fri Oct 22 1976,Chicago Bulls,95,Cleveland Cavaliers,106,/boxscores/197610220CLE.html,Coliseum at Richfield,"['1', '2', '3', '4', 'T']","['18', '22', '28', '27', '95']","['19', '22', '29', '36', '106']"
Fri Oct 22 1976,New York Nets,104,Golden State Warriors,103,/boxscores/197610220GSW.html,Oakland-Alameda County Coliseum Arena,"['1', '2', '3', '4', 'T']","['23', '27', '20', '34', '104']","['25', '27', '23', '28', '103']"
Fri Oct 22 1976,Denver Nuggets,123,Indiana Pacers,110,/boxscores/197610220IND.html,Market Square Arena,"['1', '2', '3', '4', 'T']","['36', '30', '31', '26', '123']","['24', '31', '22', '33', '110']"
Fri Oct 22 1976,Detroit Pistons,99,Kansas City Kings,96,/boxscores/197610220KCK.html,Kemper Arena,"['1', '2', '3', '4', 'T']","['25', '24', '22', '28', '99']","['27', '27', '16', '26', '96']"
Fri Oct 22 1976,Phoenix Suns,98,New Orleans Jazz,111,/boxscores/197610220NOJ.html,Louisiana Superdome,"['1', '2', '3', '4', 'T']","['23', '29', '26', '20', '98']","['32', '23', '34', '22', '111']"
Fri Oct 22 1976,San Antonio Spurs,121,Philadelphia 76ers,118,/boxscores/197610220PHI.html,The Spectrum,"['1', '2', '3', '4', 'T']","['33', '21', '33', '34', '121']","['28', '24', '32', '34', '118']"
Fri Oct 22 1976,Los Angeles Lakers,103,Washington Bullets,84,/boxscores/197610220WSB.html,Capital Centre,"['1', '2', '3', '4', 'T']","['24', '23', '26', '30', '103']","['30', '12', '17', '25', '84']"
Sat Oct 23 1976,Indiana Pacers,97,Chicago Bulls,102,/boxscores/197610230CHI.html,Chicago Stadium,"['1', '2', '3', '4', 'T']","['28', '26', '16', '27', '97']","['26', '20', '32', '24', '102']"
Sat Oct 23 1976,New York Nets,104,Portland Trail Blazers,114,/boxscores/197610230POR.html,Memorial Coliseum,"['1', '2', '3', '4', 'T']","['23', '25', '27', '29', '104']","['26', '23', '35', '30', '114']"
Sat Oct 23 1976,San Antonio Spurs,98,New York Knicks,117,/boxscores/197610230NYK.html,Madison Square Garden (IV),"['1', '2', '3', '4', 'T']","['15', '27', '28', '28', '98']","['31', '32', '22', '32', '117']"
Sat Oct 23 1976,Boston Celtics,111,Milwaukee Bucks,107,/boxscores/197610230MIL.html,MECCA Arena,"['1', '2', '3', '4', 'OT', 'T']","['18', '22', '28', '31', '12', '111']","['24', '28', '21', '26', '8', '107']"
Sat Oct 23 1976,Phoenix Suns,126,Houston Rockets,129,/boxscores/197610230HOU.html,The Summit,"['1', '2', '3', '4', 'T']","['25', '37', '27', '37', '126']","['37', '28', '28', '36', '129']"
Sat Oct 23 1976,Washington Bullets,98,Detroit Pistons,97,/boxscores/197610230DET.html,Cobo Arena,"['1', '2', '3', '4', 'T']","['24', '26', '22', '26', '98']","['27', '26', '27', '17', '97']"
Sat Oct 23 1976,Kansas City Kings,99,Denver Nuggets,120,/boxscores/197610230DEN.html,McNichols Sports Arena,"['1', '2', '3', '4', 'T']","['23', '14', '29', '33', '99']","['36', '27', '21', '36', '120']"
Sat Oct 23 1976,Philadelphia 76ers,105,Buffalo Braves,108,/boxscores/197610230BUF.html,Buffalo Memorial Auditorium,"['1', '2', '3', '4', 'T']","['25', '31', '25', '24', '105']","['30', '25', '21', '32', '108']"
Sun Oct 24 1976,Milwaukee Bucks,91,Atlanta Hawks,115,/boxscores/197610240ATL.html,Omni Coliseum,"['1', '2', '3', '4', 'T']","['28', '20', '29', '14', '91']","['38', '30', '26', '21', '115']"
Sun Oct 24 1976,Los Angeles Lakers,95,Cleveland Cavaliers,100,/boxscores/197610240CLE.html,Coliseum at Richfield,"['1', '2', '3', '4', 'T']","['22', '16', '23', '34', '95']","['28', '19', '26', '27', '100']"
Sun Oct 24 1976,New York Nets,93,Seattle SuperSonics,104,/boxscores/197610240SEA.html,Seattle Center Coliseum,"['1', '2', '3', '4', 'T']","['24', '22', '22', '25', '93']","['32', '20', '31', '21', '104']"
