date_game,visitor_team_name,visitor_pts,home_team_name,home_pts,box_score_text,arena_name,box_id,visitor_boxscore,home_boxscore
Tue Oct 9 1973,Houston Rockets,105,Buffalo Braves,107,/boxscores/197310090BUF.html,Buffalo Memorial Auditorium,"['1', '2', '3', '4', 'OT', 'T']","['20', '24', '26', '25', '10', '105']","['28', '24', '21', '22', '12', '107']"
Tue Oct 9 1973,Los Angeles Lakers,117,Chicago Bulls,97,/boxscores/197310090CHI.html,Chicago Stadium,"['1', '2', '3', '4', 'T']","['28', '19', '35', '35', '117']","['24', '30', '17', '26', '97']"
Tue Oct 9 1973,Detroit Pistons,100,New York Knicks,101,/boxscores/197310090NYK.html,Madison Square Garden (IV),"['1', '2', '3', '4', 'T']","['27', '27', '19', '27', '100']","['21', '23', '31', '26', '101']"
Tue Oct 9 1973,Capital Bullets,114,Atlanta Hawks,128,/boxscores/197310090ATL.html,Omni Coliseum,"['1', '2', '3', '4', 'T']","['22', '28', '33', '31', '114']","['21', '38', '40', '29', '128']"
Wed Oct 10 1973,Chicago Bulls,105,Kansas City-Omaha Kings,90,/boxscores/197310100KCO.html,Municipal Auditorium,"['1', '2', '3', '4', 'T']","['22', '27', '28', '28', '105']","['26', '13', '25', '26', '90']"
Wed Oct 10 1973,Houston Rockets,104,Philadelphia 76ers,88,/boxscores/197310100PHI.html,The Spectrum,"['1', '2', '3', '4', 'T']","['25', '29', '22', '28', '104']","['22', '22', '21', '23', '88']"
Wed Oct 10 1973,Seattle SuperSonics,111,Phoenix Suns,115,/boxscores/197310100PHO.html,Arizona Veterans Memorial Coliseum,"['1', '2', '3', '4', 'T']","['15', '29', '38', '29', '111']","['30', '23', '33', '29', '115']"
Thu Oct 11 1973,Los Angeles Lakers,102,Atlanta Hawks,129,/boxscores/197310110ATL.html,Omni Coliseum,"['1', '2', '3', '4', 'T']","['29', '26', '25', '22', '102']","['29', '31', '38', '31', '129']"
Fri Oct 12 1973,Buffalo Braves,112,Boston Celtics,118,/boxscores/197310120BOS.html,Boston Garden,"['1', '2', '3', '4', 'T']","['28', '27', '23', '34', '112']","['22', '37', '29', '30', '118']"
Fri Oct 12 1973,Capital Bullets,102,Seattle SuperSonics,103,/boxscores/197310120SEA.html,Seattle Center Coliseum,"['1', '2', '3', '4', 'T']","['26', '22', '35', '19', '102']","['24', '28', '26', '25', '103']"
Fri Oct 12 1973,Milwaukee Bucks,107,Phoenix Suns,84,/boxscores/197310120PHO.html,Arizona Veterans Memorial Coliseum,"['1', '2', '3', '4', 'T']","['24', '26', '29', '28', '107']","['20', '21', '25', '18', '84']"
Fri Oct 12 1973,Chicago Bulls,84,Kansas City-Omaha Kings,88,/boxscores/197310120KCO.html,Omaha Civic Auditorium,"['1', '2', '3', '4', 'T']","['19', '23', '21', '21', '84']","['22', '27', '29', '10', '88']"
Fri Oct 12 1973,Atlanta Hawks,105,Detroit Pistons,122,/boxscores/197310120DET.html,Cobo Arena,"['1', '2', '3', '4', 'T']","['34', '24', '23', '24', '105']","['33', '30', '33', '26', '122']"
Fri Oct 12 1973,Houston Rockets,106,Cleveland Cavaliers,99,/boxscores/197310120CLE.html,Cleveland Arena,"['1', '2', '3', '4', 'T']","['29', '23', '28', '26', '106']","['29', '23', '18', '29', '99']"
Sat Oct 13 1973,Boston Celtics,111,Philadelphia 76ers,106,/boxscores/197310130PHI.html,The Spectrum,"['1', '2', '3', '4', 'T']","['39', '26', '21', '25', '111']","['30', '28', '24', '24', '106']"
Sat Oct 13 1973,Capital Bullets,87,Portland Trail Blazers,132,/boxscores/197310130POR.html,Memorial Coliseum,"['1', '2', '3', '4', 'T']","['24', '23', '18', '22', '87']","['29', '45', '32', '26', '132']"
Sat Oct 13 1973,Houston Rockets,86,New York Knicks,85,/boxscores/197310130NYK.html,Madison Square Garden (IV),"['1', '2', '3', '4', 'T']","['22', '25', '24', '15', '86']","['14', '15', '28', '28', '85']"
Sat Oct 13 1973,Detroit Pistons,94,Chicago Bulls,101,/boxscores/197310130CHI.html,Chicago Stadium,"['1', '2', '3', '4', 'T']","['29', '15', '20', '30', '94']","['16', '27', '30', '28', '101']"
Sat Oct 13 1973,Kansas City-Omaha Kings,117,Atlanta Hawks,102,/boxscores/197310130ATL.html,Omni Coliseum,"['1', '2', '3', '4', 'T']","['31', '29', '30', '27', '117']","['28', '22', '29', '23', '102']"
Sat Oct 13 1973,Los Angeles Lakers,125,Buffalo Braves,122,/boxscores/197310130BUF.html,Buffalo Memorial Auditorium,"['1', '2', '3', '4', 'T']","['36', '25', '26', '38', '125']","['37', '32', '24', '29', '122']"
Sat Oct 13 1973,Milwaukee Bucks,97,Golden State Warriors,85,/boxscores/197310130GSW.html,Oakland-Alameda County Coliseum Arena,"['1', '2', '3', '4', 'T']","['27', '20', '31', '19', '97']","['20', '13', '29', '23', '85']"
Sun Oct 14 1973,Detroit Pistons,95,Cleveland Cavaliers,83,/boxscores/197310140CLE.html,Cleveland Arena,"['1', '2', '3', '4', 'T']","['22', '22', '23', '28', '95']","['23', '16', '20', '24', '83']"
Sun Oct 14 1973,Golden State Warriors,120,Phoenix Suns,95,/boxscores/197310140PHO.html,Arizona Veterans Memorial Coliseum,"['1', '2', '3', '4', 'T']","['32', '23', '29', '36', '120']","['30', '24', '27', '14', '95']"
Sun Oct 14 1973,Milwaukee Bucks,100,Seattle SuperSonics,109,/boxscores/197310140SEA.html,Seattle Center Coliseum,"['1', '2', '3', '4', 'T']","['35', '23', '17', '25', '100']","['27', '34', '25', '23', '109']"
Tue Oct 16 1973,Philadelphia 76ers,106,Houston Rockets,101,/boxscores/197310160HOU.html,Hofheinz Pavilion,"['1', '2', '3', '4', 'T']","['27', '31', '21', '27', '106']","['32', '24', '24', '21', '101']"
Tue Oct 16 1973,Buffalo Braves,91,New York Knicks,117,/boxscores/197310160NYK.html,Madison Square Garden (IV),"['1', '2', '3', '4', 'T']","['22', '29', '20', '20', '91']","['28', '29', '25', '35', '117']"
Wed Oct 17 1973,Kansas City-Omaha Kings,108,Seattle SuperSonics,106,/boxscores/197310170SEA.html,Seattle Center Coliseum,"['1', '2', '3', '4', 'T']","['25', '25', '29', '29', '108']","['29', '26', '26', '25', '106']"
Wed Oct 17 1973,Golden State Warriors,95,Milwaukee Bucks,109,/boxscores/197310170MIL.html,Milwaukee Arena,"['1', '2', '3', '4', 'T']","['22', '17', '31', '25', '95']","['26', '26', '25', '32', '109']"
Fri Oct 19 1973,Philadelphia 76ers,102,Boston Celtics,133,/boxscores/197310190BOS.html,Boston Garden,"['1', '2', '3', '4', 'T']","['20', '28', '27', '27', '102']","['31', '30', '28', '44', '133']"
Fri Oct 19 1973,Capital Bullets,103,Chicago Bulls,117,/boxscores/197310190CHI.html,Chicago Stadium,"['1', '2', '3', '4', 'T']","['26', '35', '22', '20', '103']","['29', '26', '31', '31', '117']"
Fri Oct 19 1973,New York Knicks,92,Cleveland Cavaliers,90,/boxscores/197310190CLE.html,Cleveland Arena,"['1', '2', '3', '4', 'T']","['27', '17', '27', '21', '92']","['19', '23', '12', '36', '90']"
Fri Oct 19 1973,Milwaukee Bucks,96,Detroit Pistons,94,/boxscores/197310190DET.html,Cobo Arena,"['1', '2', '3', '4', 'T']","['14', '35', '21', '26', '96']","['24', '24', '18', '28', '94']"
Fri Oct 19 1973,Seattle SuperSonics,91,Los Angeles Lakers,118,/boxscores/197310190LAL.html,The Forum,"['1', '2', '3', '4', 'T']","['18', '23', '22', '28', '91']","['26', '25', '41', '26', '118']"
Fri Oct 19 1973,Kansas City-Omaha Kings,99,Portland Trail Blazers,111,/boxscores/197310190POR.html,Memorial Coliseum,"['1', '2', '3', '4', 'T']","['18', '28', '22', '31', '99']","['24', '33', '22', '32', '111']"
Sat Oct 20 1973,Seattle SuperSonics,108,Portland Trail Blazers,123,/boxscores/197310200POR.html,Memorial Coliseum,"['1', '2', '3', '4', 'T']","['21', '24', '35', '28', '108']","['28', '21', '39', '35', '123']"
Sat Oct 20 1973,Atlanta Hawks,108,Phoenix Suns,118,/boxscores/197310200PHO.html,Arizona Veterans Memorial Coliseum,"['1', '2', '3', '4', 'T']","['28', '22', '21', '37', '108']","['31', '23', '32', '32', '118']"
Sat Oct 20 1973,Chicago Bulls,85,New York Knicks,69,/boxscores/197310200NYK.html,Madison Square Garden (IV),"['1', '2', '3', '4', 'T']","['20', '16', '29', '20', '85']","['19', '23', '15', '12', '69']"
Sat Oct 20 1973,Cleveland Cavaliers,88,Milwaukee Bucks,101,/boxscores/197310200MIL.html,Milwaukee Arena,"['1', '2', '3', '4', 'T']","['24', '22', '16', '26', '88']","['31', '18', '18', '34', '101']"
Sat Oct 20 1973,Kansas City-Omaha Kings,81,Golden State Warriors,100,/boxscores/197310200GSW.html,Oakland-Alameda County Coliseum Arena,"['1', '2', '3', '4', 'T']","['13', '22', '16', '30', '81']","['28', '22', '22', '28', '100']"
Sat Oct 20 1973,Detroit Pistons,107,Houston Rockets,104,/boxscores/197310200HOU.html,Hofheinz Pavilion,"['1', '2', '3', '4', 'T']","['22', '27', '31', '27', '107']","['27', '21', '32', '24', '104']"
Sat Oct 20 1973,Philadelphia 76ers,110,Buffalo Braves,116,/boxscores/197310200BUF.html,Buffalo Memorial Auditorium,"['1', '2', '3', '4', 'T']","['28', '29', '21', '32', '110']","['29', '25', '34', '28', '116']"
Sat Oct 20 1973,Boston Celtics,87,Capital Bullets,96,/boxscores/197310200CAP.html,Cole Field House,"['1', '2', '3', '4', 'T']","['24', '26', '20', '17', '87']","['21', '26', '25', '24', '96']"
Sun Oct 21 1973,Chicago Bulls,107,Capital Bullets,99,/boxscores/197310210CAP.html,Cole Field House,"['1', '2', '3', '4', 'T']","['24', '24', '29', '30', '107']","['28', '29', '27', '15', '99']"
Sun Oct 21 1973,Atlanta Hawks,119,Los Angeles Lakers,100,/boxscores/197310210LAL.html,The Forum,"['1', '2', '3', '4', 'T']","['31', '23', '35', '30', '119']","['24', '21', '31', '24', '100']"
Sun Oct 21 1973,Phoenix Suns,112,Seattle SuperSonics,116,/boxscores/197310210SEA.html,Seattle Center Coliseum,"['1', '2', '3', '4', 'T']","['20', '32', '27', '33', '112']","['29', '26', '37', '24', '116']"
Tue Oct 23 1973,Portland Trail Blazers,96,Cleveland Cavaliers,103,/boxscores/197310230CLE.html,Cleveland Arena,"['1', '2', '3', '4', 'T']","['28', '25', '23', '20', '96']","['32', '19', '29', '23', '103']"
Tue Oct 23 1973,Phoenix Suns,109,Golden State Warriors,121,/boxscores/197310230GSW.html,Oakland-Alameda County Coliseum Arena,"['1', '2', '3', '4', 'T']","['27', '32', '28', '22', '109']","['35', '25', '23', '38', '121']"
Tue Oct 23 1973,Los Angeles Lakers,107,Houston Rockets,98,/boxscores/197310230HOU.html,Hofheinz Pavilion,"['1', '2', '3', '4', 'T']","['32', '25', '26', '24', '107']","['14', '26', '28', '30', '98']"
Tue Oct 23 1973,Capital Bullets,101,New York Knicks,84,/boxscores/197310230NYK.html,Madison Square Garden (IV),"['1', '2', '3', '4', 'T']","['14', '23', '32', '32', '101']","['19', '16', '16', '33', '84']"
Wed Oct 24 1973,Los Angeles Lakers,92,Kansas City-Omaha Kings,91,/boxscores/197310240KCO.html,Omaha Civic Auditorium,"['1', '2', '3', '4', 'T']","['20', '24', '23', '25', '92']","['30', '18', '25', '18', '91']"
Wed Oct 24 1973,Atlanta Hawks,131,Seattle SuperSonics,106,/boxscores/197310240SEA.html,Seattle Center Coliseum,"['1', '2', '3', '4', 'T']","['31', '21', '45', '34', '131']","['29', '23', '24', '30', '106']"
Wed Oct 24 1973,Detroit Pistons,115,Phoenix Suns,99,/boxscores/197310240PHO.html,Arizona Veterans Memorial Coliseum,"['1', '2', '3', '4', 'T']","['26', '32', '33', '24', '115']","['27', '26', '14', '32', '99']"
Wed Oct 24 1973,Portland Trail Blazers,110,Philadelphia 76ers,132,/boxscores/197310240PHI.html,The Spectrum,"['1', '2', '3', '4', 'T']","['24', '21', '28', '37', '110']","['35', '21', '35', '41', '132']"
Wed Oct 24 1973,Buffalo Braves,113,Milwaukee Bucks,130,/boxscores/197310240MIL.html,Milwaukee Arena,"['1', '2', '3', '4', 'T']","['32', '19', '25', '37', '113']","['32', '34', '31', '33', '130']"
Wed Oct 24 1973,Houston Rockets,132,Boston Celtics,117,/boxscores/197310240BOS.html,Boston Garden,"['1', '2', '3', '4', 'T']","['35', '41', '25', '31', '132']","['26', '40', '26', '25', '117']"
Fri Oct 26 1973,Golden State Warriors,117,Seattle SuperSonics,110,/boxscores/197310260SEA.html,Seattle Center Coliseum,"['1', '2', '3', '4', 'T']","['29', '30', '24', '34', '117']","['24', '26', '30', '30', '110']"
Fri Oct 26 1973,Atlanta Hawks,110,Portland Trail Blazers,127,/boxscores/197310260POR.html,Memorial Coliseum,"['1', '2', '3', '4', 'T']","['30', '29', '21', '30', '110']","['36', '19', '37', '35', '127']"
