date_game,visitor_team_name,visitor_pts,home_team_name,home_pts,box_score_text,arena_name,box_id,visitor_boxscore,home_boxscore
Tue Oct 28 2014,Orlando Magic,84,New Orleans Pelicans,101,/boxscores/201410280NOP.html,Smoothie King Center,"['1', '2', '3', '4', 'T']","['25', '16', '23', '20', '84']","['24', '24', '30', '23', '101']"
Tue Oct 28 2014,Dallas Mavericks,100,San Antonio Spurs,101,/boxscores/201410280SAS.html,AT&T Center,"['1', '2', '3', '4', 'T']","['24', '29', '20', '27', '100']","['26', '19', '31', '25', '101']"
Tue Oct 28 2014,Houston Rockets,108,Los Angeles Lakers,90,/boxscores/201410280LAL.html,STAPLES Center,"['1', '2', '3', '4', 'T']","['31', '31', '23', '23', '108']","['19', '26', '24', '21', '90']"
Wed Oct 29 2014,Milwaukee Bucks,106,Charlotte Hornets,108,/boxscores/201410290CHO.html,Time Warner Cable Arena,"['1', '2', '3', '4', 'OT', 'T']","['24', '33', '26', '17', '6', '106']","['25', '21', '22', '32', '8', '108']"
Wed Oct 29 2014,Philadelphia 76ers,91,Indiana Pacers,103,/boxscores/201410290IND.html,Bankers Life Fieldhouse,"['1', '2', '3', '4', 'T']","['24', '27', '22', '18', '91']","['26', '22', '30', '25', '103']"
Wed Oct 29 2014,Atlanta Hawks,102,Toronto Raptors,109,/boxscores/201410290TOR.html,Air Canada Centre,"['1', '2', '3', '4', 'T']","['22', '30', '19', '31', '102']","['24', '36', '26', '23', '109']"
Wed Oct 29 2014,Washington Wizards,95,Miami Heat,107,/boxscores/201410290MIA.html,AmericanAirlines Arena,"['1', '2', '3', '4', 'T']","['28', '24', '18', '25', '95']","['22', '31', '19', '35', '107']"
Wed Oct 29 2014,Brooklyn Nets,105,Boston Celtics,121,/boxscores/201410290BOS.html,TD Garden,"['1', '2', '3', '4', 'T']","['23', '18', '31', '33', '105']","['32', '35', '34', '20', '121']"
Wed Oct 29 2014,Chicago Bulls,104,New York Knicks,80,/boxscores/201410290NYK.html,Madison Square Garden (IV),"['1', '2', '3', '4', 'T']","['24', '29', '31', '20', '104']","['20', '23', '17', '20', '80']"
Wed Oct 29 2014,Minnesota Timberwolves,101,Memphis Grizzlies,105,/boxscores/201410290MEM.html,FedEx Forum,"['1', '2', '3', '4', 'T']","['27', '20', '27', '27', '101']","['25', '28', '28', '24', '105']"
