date_game,visitor_team_name,visitor_pts,home_team_name,home_pts,box_score_text,arena_name,box_id,visitor_boxscore,home_boxscore
Tue Oct 18 1977,New Jersey Nets,93,Detroit Pistons,110,/boxscores/197710180DET.html,Cobo Arena,"['1', '2', '3', '4', 'T']","['14', '22', '27', '30', '93']","['27', '30', '21', '32', '110']"
Tue Oct 18 1977,Chicago Bulls,91,Cleveland Cavaliers,88,/boxscores/197710180CLE.html,Coliseum at Richfield,"['1', '2', '3', '4', 'T']","['22', '24', '27', '18', '91']","['18', '25', '26', '19', '88']"
Tue Oct 18 1977,Golden State Warriors,83,Phoenix Suns,100,/boxscores/197710180PHO.html,Arizona Veterans Memorial Coliseum,"['1', '2', '3', '4', 'T']","['18', '19', '20', '26', '83']","['19', '25', '30', '26', '100']"
Tue Oct 18 1977,Los Angeles Lakers,112,Milwaukee Bucks,117,/boxscores/197710180MIL.html,MECCA Arena,"['1', '2', '3', '4', 'T']","['21', '40', '24', '27', '112']","['29', '24', '33', '31', '117']"
Tue Oct 18 1977,Kansas City Kings,113,New York Knicks,120,/boxscores/197710180NYK.html,Madison Square Garden (IV),"['1', '2', '3', '4', 'T']","['27', '25', '32', '29', '113']","['26', '33', '34', '27', '120']"
Wed Oct 19 1977,Kansas City Kings,108,Buffalo Braves,112,/boxscores/197710190BUF.html,Buffalo Memorial Auditorium,"['1', '2', '3', '4', 'T']","['14', '24', '27', '43', '108']","['29', '21', '31', '31', '112']"
Wed Oct 19 1977,Milwaukee Bucks,115,Denver Nuggets,133,/boxscores/197710190DEN.html,McNichols Sports Arena,"['1', '2', '3', '4', 'T']","['25', '37', '31', '22', '115']","['29', '32', '34', '38', '133']"
Wed Oct 19 1977,Seattle SuperSonics,84,Golden State Warriors,116,/boxscores/197710190GSW.html,Oakland-Alameda County Coliseum Arena,"['1', '2', '3', '4', 'T']","['24', '22', '20', '18', '84']","['19', '28', '35', '34', '116']"
Wed Oct 19 1977,Chicago Bulls,107,Houston Rockets,103,/boxscores/197710190HOU.html,The Summit,"['1', '2', '3', '4', 'T']","['24', '24', '34', '25', '107']","['29', '29', '28', '17', '103']"
Wed Oct 19 1977,Los Angeles Lakers,133,Indiana Pacers,120,/boxscores/197710190IND.html,Market Square Arena,"['1', '2', '3', '4', 'T']","['29', '29', '38', '37', '133']","['25', '28', '29', '38', '120']"
Wed Oct 19 1977,Detroit Pistons,96,Philadelphia 76ers,113,/boxscores/197710190PHI.html,The Spectrum,"['1', '2', '3', '4', 'T']","['21', '17', '27', '31', '96']","['30', '33', '27', '23', '113']"
Wed Oct 19 1977,Boston Celtics,109,San Antonio Spurs,114,/boxscores/197710190SAS.html,HemisFair Arena,"['1', '2', '3', '4', 'T']","['27', '28', '24', '30', '109']","['27', '35', '26', '26', '114']"
Thu Oct 20 1977,Cleveland Cavaliers,107,New Orleans Jazz,104,/boxscores/197710200NOJ.html,Louisiana Superdome,"['1', '2', '3', '4', 'T']","['28', '21', '30', '28', '107']","['24', '23', '34', '23', '104']"
Fri Oct 21 1977,New Orleans Jazz,111,New Jersey Nets,103,/boxscores/197710210NJN.html,Rutgers Athletic Center,"['1', '2', '3', '4', 'T']","['22', '29', '37', '23', '111']","['19', '26', '27', '31', '103']"
Fri Oct 21 1977,Detroit Pistons,109,Washington Bullets,117,/boxscores/197710210WSB.html,Capital Centre,"['1', '2', '3', '4', 'T']","['27', '26', '24', '32', '109']","['27', '32', '31', '27', '117']"
Fri Oct 21 1977,Portland Trail Blazers,106,Seattle SuperSonics,99,/boxscores/197710210SEA.html,Seattle Center Coliseum,"['1', '2', '3', '4', 'T']","['20', '23', '31', '32', '106']","['27', '20', '25', '27', '99']"
Fri Oct 21 1977,Houston Rockets,94,Kansas City Kings,95,/boxscores/197710210KCK.html,Kemper Arena,"['1', '2', '3', '4', 'T']","['23', '23', '21', '27', '94']","['29', '32', '16', '18', '95']"
Fri Oct 21 1977,San Antonio Spurs,117,Golden State Warriors,122,/boxscores/197710210GSW.html,Oakland-Alameda County Coliseum Arena,"['1', '2', '3', '4', 'T']","['26', '31', '33', '27', '117']","['26', '24', '41', '31', '122']"
Fri Oct 21 1977,Los Angeles Lakers,101,Denver Nuggets,106,/boxscores/197710210DEN.html,McNichols Sports Arena,"['1', '2', '3', '4', 'T']","['31', '23', '29', '18', '101']","['27', '21', '26', '32', '106']"
Fri Oct 21 1977,Indiana Pacers,119,Chicago Bulls,122,/boxscores/197710210CHI.html,Chicago Stadium,"['1', '2', '3', '4', 'T']","['31', '34', '28', '26', '119']","['34', '31', '30', '27', '122']"
Sat Oct 22 1977,Cleveland Cavaliers,101,Atlanta Hawks,107,/boxscores/197710220ATL.html,Omni Coliseum,"['1', '2', '3', '4', 'T']","['24', '22', '26', '29', '101']","['32', '25', '22', '28', '107']"
