date_game,visitor_team_name,visitor_pts,home_team_name,home_pts,box_score_text,arena_name,box_id,visitor_boxscore,home_boxscore
Fri Oct 25 1985,Cleveland Cavaliers,115,Chicago Bulls,116,/boxscores/198510250CHI.html,Chicago Stadium,"['1', '2', '3', '4', 'OT', 'T']","['30', '22', '25', '28', '10', '115']","['28', '26', '25', '26', '11', '116']"
Fri Oct 25 1985,Milwaukee Bucks,116,Detroit Pistons,118,/boxscores/198510250DET.html,Pontiac Silverdome,"['1', '2', '3', '4', 'T']","['34', '27', '22', '33', '116']","['32', '22', '36', '28', '118']"
Fri Oct 25 1985,Denver Nuggets,119,Golden State Warriors,105,/boxscores/198510250GSW.html,Oakland-Alameda County Coliseum Arena,"['1', '2', '3', '4', 'T']","['26', '26', '26', '41', '119']","['28', '25', '27', '25', '105']"
Fri Oct 25 1985,Phoenix Suns,123,Portland Trail Blazers,128,/boxscores/198510250POR.html,Memorial Coliseum,"['1', '2', '3', '4', 'OT', 'T']","['28', '32', '19', '38', '6', '123']","['30', '28', '29', '30', '11', '128']"
Fri Oct 25 1985,Los Angeles Clippers,108,Sacramento Kings,104,/boxscores/198510250SAC.html,ARCO Arena (I),"['1', '2', '3', '4', 'T']","['21', '21', '37', '29', '108']","['25', '32', '30', '17', '104']"
Fri Oct 25 1985,Houston Rockets,112,Utah Jazz,108,/boxscores/198510250UTA.html,Salt Palace,"['1', '2', '3', '4', 'T']","['32', '29', '28', '23', '112']","['22', '35', '29', '22', '108']"
Fri Oct 25 1985,Washington Bullets,100,Atlanta Hawks,91,/boxscores/198510250ATL.html,Omni Coliseum,"['1', '2', '3', '4', 'T']","['26', '27', '20', '27', '100']","['27', '26', '19', '19', '91']"
Fri Oct 25 1985,Boston Celtics,109,New Jersey Nets,113,/boxscores/198510250NJN.html,Brendan Byrne Arena,"['1', '2', '3', '4', 'OT', 'T']","['28', '26', '33', '12', '10', '109']","['28', '22', '25', '24', '14', '113']"
Sat Oct 26 1985,Sacramento Kings,112,Denver Nuggets,123,/boxscores/198510260DEN.html,McNichols Sports Arena,"['1', '2', '3', '4', 'T']","['26', '27', '30', '29', '112']","['39', '30', '25', '29', '123']"
Sat Oct 26 1985,Los Angeles Lakers,121,San Antonio Spurs,116,/boxscores/198510260SAS.html,HemisFair Arena,"['1', '2', '3', '4', 'OT', '2OT', 'T']","['22', '32', '20', '29', '8', '10', '121']","['18', '32', '32', '21', '8', '5', '116']"
Sat Oct 26 1985,Philadelphia 76ers,99,New York Knicks,89,/boxscores/198510260NYK.html,Madison Square Garden (IV),"['1', '2', '3', '4', 'T']","['28', '20', '26', '25', '99']","['23', '21', '23', '22', '89']"
Sat Oct 26 1985,Atlanta Hawks,91,Milwaukee Bucks,117,/boxscores/198510260MIL.html,MECCA Arena,"['1', '2', '3', '4', 'T']","['24', '13', '19', '35', '91']","['33', '23', '20', '41', '117']"
Sat Oct 26 1985,Houston Rockets,129,Los Angeles Clippers,130,/boxscores/198510260LAC.html,Los Angeles Memorial Sports Arena,"['1', '2', '3', '4', 'OT', '2OT', 'T']","['28', '31', '28', '20', '10', '12', '129']","['27', '30', '26', '24', '10', '13', '130']"
Sat Oct 26 1985,New Jersey Nets,92,Indiana Pacers,119,/boxscores/198510260IND.html,Market Square Arena,"['1', '2', '3', '4', 'T']","['28', '22', '17', '25', '92']","['32', '18', '33', '36', '119']"
Sat Oct 26 1985,Seattle SuperSonics,95,Dallas Mavericks,101,/boxscores/198510260DAL.html,Reunion Arena,"['1', '2', '3', '4', 'T']","['26', '26', '21', '22', '95']","['32', '21', '28', '20', '101']"
Sat Oct 26 1985,Boston Celtics,105,Cleveland Cavaliers,100,/boxscores/198510260CLE.html,Coliseum at Richfield,"['1', '2', '3', '4', 'T']","['25', '29', '30', '21', '105']","['29', '26', '22', '23', '100']"
Sat Oct 26 1985,Detroit Pistons,118,Chicago Bulls,121,/boxscores/198510260CHI.html,Chicago Stadium,"['1', '2', '3', '4', 'T']","['28', '31', '29', '30', '118']","['30', '30', '26', '35', '121']"
Sun Oct 27 1985,Golden State Warriors,99,Portland Trail Blazers,116,/boxscores/198510270POR.html,Memorial Coliseum,"['1', '2', '3', '4', 'T']","['25', '24', '20', '30', '99']","['23', '31', '29', '33', '116']"
Tue Oct 29 1985,Washington Bullets,97,Cleveland Cavaliers,90,/boxscores/198510290CLE.html,Coliseum at Richfield,"['1', '2', '3', '4', 'T']","['26', '23', '26', '22', '97']","['22', '24', '13', '31', '90']"
