date_game,visitor_team_name,visitor_pts,home_team_name,home_pts,box_score_text,arena_name,box_id,visitor_boxscore,home_boxscore
Fri Oct 31 1997,Chicago Bulls,85,Boston Celtics,92,/boxscores/199710310BOS.html,FleetCenter,"['1', '2', '3', '4', 'T']","['32', '11', '15', '27', '85']","['12', '22', '34', '24', '92']"
Fri Oct 31 1997,New York Knicks,97,Charlotte Hornets,85,/boxscores/199710310CHH.html,Charlotte Coliseum,"['1', '2', '3', '4', 'T']","['23', '23', '24', '27', '97']","['17', '21', '26', '21', '85']"
Fri Oct 31 1997,San Antonio Spurs,107,Denver Nuggets,96,/boxscores/199710310DEN.html,McNichols Sports Arena,"['1', '2', '3', '4', 'T']","['21', '22', '30', '34', '107']","['26', '24', '21', '25', '96']"
Fri Oct 31 1997,Washington Wizards,79,Detroit Pistons,92,/boxscores/199710310DET.html,The Palace of Auburn Hills,"['1', '2', '3', '4', 'T']","['21', '22', '16', '20', '79']","['24', '24', '22', '22', '92']"
Fri Oct 31 1997,Cleveland Cavaliers,86,Houston Rockets,94,/boxscores/199710310HOU.html,The Summit,"['1', '2', '3', '4', 'T']","['17', '18', '20', '31', '86']","['27', '19', '25', '23', '94']"
Fri Oct 31 1997,Utah Jazz,87,Los Angeles Lakers,104,/boxscores/199710310LAL.html,Great Western Forum,"['1', '2', '3', '4', 'T']","['28', '17', '19', '23', '87']","['16', '27', '25', '36', '104']"
Fri Oct 31 1997,Toronto Raptors,101,Miami Heat,114,/boxscores/199710310MIA.html,Miami Arena,"['1', '2', '3', '4', 'T']","['27', '26', '27', '21', '101']","['33', '25', '26', '30', '114']"
Fri Oct 31 1997,Golden State Warriors,113,Minnesota Timberwolves,129,/boxscores/199710310MIN.html,Target Center,"['1', '2', '3', '4', 'T']","['27', '28', '33', '25', '113']","['31', '38', '33', '27', '129']"
Fri Oct 31 1997,Indiana Pacers,95,New Jersey Nets,97,/boxscores/199710310NJN.html,Continental Airlines Arena,"['1', '2', '3', '4', 'T']","['28', '29', '21', '17', '95']","['20', '28', '29', '20', '97']"
Fri Oct 31 1997,Atlanta Hawks,105,Orlando Magic,99,/boxscores/199710310ORL.html,Orlando Arena,"['1', '2', '3', '4', 'T']","['30', '27', '23', '25', '105']","['18', '33', '23', '25', '99']"
Fri Oct 31 1997,Milwaukee Bucks,103,Philadelphia 76ers,88,/boxscores/199710310PHI.html,CoreStates Center,"['1', '2', '3', '4', 'T']","['27', '26', '21', '29', '103']","['24', '21', '22', '21', '88']"
Fri Oct 31 1997,Los Angeles Clippers,100,Phoenix Suns,110,/boxscores/199710310PHO.html,America West Arena,"['1', '2', '3', '4', 'T']","['34', '25', '22', '19', '100']","['29', '34', '28', '19', '110']"
Fri Oct 31 1997,Seattle SuperSonics,91,Portland Trail Blazers,83,/boxscores/199710310POR.html,Rose Garden Arena,"['1', '2', '3', '4', 'T']","['24', '28', '16', '23', '91']","['20', '21', '26', '16', '83']"
Fri Oct 31 1997,Dallas Mavericks,90,Vancouver Grizzlies,88,/boxscores/199710310VAN.html,General Motors Place,"['1', '2', '3', '4', 'T']","['26', '17', '31', '16', '90']","['18', '27', '21', '22', '88']"
