date_game,visitor_team_name,visitor_pts,home_team_name,home_pts,box_score_text,arena_name,box_id,visitor_boxscore,home_boxscore
Tue Oct 30 2012,Washington Wizards,84,Cleveland Cavaliers,94,/boxscores/201210300CLE.html,Quicken Loans Arena,"['1', '2', '3', '4', 'T']","['24', '15', '23', '22', '84']","['31', '19', '24', '20', '94']"
Tue Oct 30 2012,Boston Celtics,107,Miami Heat,120,/boxscores/201210300MIA.html,AmericanAirlines Arena,"['1', '2', '3', '4', 'T']","['25', '29', '22', '31', '107']","['31', '31', '31', '27', '120']"
Tue Oct 30 2012,Dallas Mavericks,99,Los Angeles Lakers,91,/boxscores/201210300LAL.html,STAPLES Center,"['1', '2', '3', '4', 'T']","['25', '23', '26', '25', '99']","['29', '17', '20', '25', '91']"
Wed Oct 31 2012,Denver Nuggets,75,Philadelphia 76ers,84,/boxscores/201210310PHI.html,Wells Fargo Center,"['1', '2', '3', '4', 'T']","['22', '16', '14', '23', '75']","['25', '21', '19', '19', '84']"
Wed Oct 31 2012,Indiana Pacers,90,Toronto Raptors,88,/boxscores/201210310TOR.html,Air Canada Centre,"['1', '2', '3', '4', 'T']","['27', '21', '15', '27', '90']","['25', '23', '23', '17', '88']"
Wed Oct 31 2012,Houston Rockets,105,Detroit Pistons,96,/boxscores/201210310DET.html,The Palace of Auburn Hills,"['1', '2', '3', '4', 'T']","['27', '28', '17', '33', '105']","['22', '36', '23', '15', '96']"
Wed Oct 31 2012,Sacramento Kings,87,Chicago Bulls,93,/boxscores/201210310CHI.html,United Center,"['1', '2', '3', '4', 'T']","['23', '17', '23', '24', '87']","['25', '19', '25', '24', '93']"
Wed Oct 31 2012,San Antonio Spurs,99,New Orleans Hornets,95,/boxscores/201210310NOH.html,New Orleans Arena,"['1', '2', '3', '4', 'T']","['28', '15', '28', '28', '99']","['31', '19', '21', '24', '95']"
Wed Oct 31 2012,Dallas Mavericks,94,Utah Jazz,113,/boxscores/201210310UTA.html,EnergySolutions Arena,"['1', '2', '3', '4', 'T']","['26', '37', '13', '18', '94']","['25', '30', '37', '21', '113']"
Wed Oct 31 2012,Golden State Warriors,87,Phoenix Suns,85,/boxscores/201210310PHO.html,US Airways Center,"['1', '2', '3', '4', 'T']","['25', '23', '17', '22', '87']","['21', '21', '25', '18', '85']"
